,text,orientation,language,mean_confidence,used_original_text,time,scale
0," 𒀁 Research ‘The Oriental Institute The University of Chicago UITGAVEN VAN HET NEDERLANDS INSTITUUT VOOR HET NABIJE OOSTEN TE LEIDEN voorheen Publications de L'Institut historique-archéologique néerlandais de Stamboul sous la direction de Machteld J. MELLINK, J. de ROOS, J.J. ROODENBERG et K.R. VEENHOF",0,eng,92.482294,False,1672905918.181768,2.465909090909091
1,"


a Archive

The Oriental Institute
The University of Chicago

SSI

Research Archives-Director's Library

 

ur-nad:
(Old Assyrian Archives, volume 1)
by
Mogens Trolle Larsen

The A:

NEDERLANDS INSTITUUT VOOR HET NABIJE OOSTEN
2002

 

vropeddes ur sainos apery, uersAssy p[O ey],

 

 

 

 

 

 

ue a
aureu wiapour waskey | —

 

 

 

anes BIEVER PRP 22D

 

Eg

 

 ",0,eng,66.92855070588236,False,1672905922.3547158,1.75
2,"Copyright 2002 by Nederlands Instituut voor het Nabije Oosten Witte Singel 25 Postbus 9515 2300 RA Leiden, Nederland ninopublications@let.leidenuniv.nl Table of contents All rights reserved, including the rights to translate or to reproduce this book or parts thereof in any form Preface ... Introduction. Bibliography . Letters from A8Sur-idi .. Letters to A’Sur-idi. Letters from A&Sur-nada. Letters to ASSur-nada.... Other correspondents.. Texts of other types Indices...     Mogens Trolle Larsen The A&Sur-nada archive (Old Assyrian Archives, volume 1). Uitgave: Nederlands Instituut voor het Nabije Oosten te Leiden (voorheen Uitgave van het Nederlands Historisch-Archeologisch Instituut te Istanbul. ISSN 0926-9568; 96) ISBN 90-6258-097-1 Printed in Belgium",0,eng,89.63732942718445,False,1672905923.835668,2.2604166666666665
3,"


Preface

A great deal of collaboration goes into this book. A small group of scholars dedicated to the study
of Old Assyrian have decided to join forces in an effort to bring out a series of publications of
these difficult and often rather inaccessible texts. J.G. Dercksen, G. Kryszat, M.T. Larsen, Cécile
Michel and K.R. Veenhof have met regularly during the last couple of years and laid the ground-
work for the project. Karen Jensen, a Ph.D. student at the Carsten Niebuhr Institute in Copenhagen
has also taken part together with the graduate students Gojko Barjamovic and Thomas Hertel.
During a whole year Dercksen worked in Copenhagen on the basis of a grant from the Carlsberg
Foundation, and we read most of the texts in this volume together. I am deeply grateful for all the
help and encouragement I have received from these colleagues and look forward to further col-
laboration in connection with future volumes and activities.

The Carlsberg Foundation has supported the work in Copenhagen in several ways and has
decided to continue this support over the next few years. Without their help it would be impossible
to carry out this project at the Carsten Niebuhr Institute, and they deserve our heartfelt thanks.

Mogens Trolle Larsen June 30, 2002",0,eng,94.96866000473935,False,1672905924.727455,1.75
4,"


Introduction",0,eng,96.623543,False,1672905925.192899,1.75
5,"


The Old Assyrian Text Project

This book is the first volume in a series of editions of Old Assyrian texts from Kiiltepe. The main
aim of the project is to produce reliable and up-to-date editions consisting of transliterations, trans-
lations, an introduction and brief commentaries. Each volume will contain texts that can be said to
reflect the activities of an Assyrian family and firm involved in the trade on Anatolia. It is also the
intention to publish various aids to the study of the Old Assyrian texts: a general bibliography, a
list of personal names, a prosopography and some studies of important topics.

Further volumes are in preparation: Cécile Michel will edit the archive of Inbi-I8tar, Jan
Gerrit Dercksen that of PiiSu-kén, Karen Jensen will prepare a new edition of the Imdi-ilum ar-
chive, and Klaas Veenhof will edit the dossier of Puzur-AS8ur.

The majority of the available Old Assyrian texts have no archaeological context. Those
now housed in museums and collections all over the world were dug up by the local peasants and
sold on the antiquities market in the period between ca. 1880 and 1948; in 1925 Bedric Hrozny
found the first archives,’ but his excavation was chaotic and unsystematic and we have only im-
precise and partial data concerning his discoveries. In 1948 the official Turkish excavations led by
professor Tahsin Ozgtig began, but the publication process regarding the more than 15,000 texts
discovered since then is only now getting started. The texts from the Turkish excavations will be
published separately by the Turkish Historical Society, so in this project we are concerned only
with the texts discovered before 1948.

‘The excavations in conjunction with the philological study of the textual corpus that has
been available to scholars has led to a profound understanding of Old Assyrian society and espe-
cially of the commercial system of long-distance trade that was its basis.’ We are faced with the
most extensive documentation for ancient commerce from any region or period of the Near East
and the Mediterranean world, a material that can only be matched by the evidence from the Geniza
texts* and the immense documentation for the trade of the Italian cities of the Renaissance. This

 

' Published in CK 1 and 2, KTS 2 (12-40), KKS, and Prague. For the excavations see Hrozny 1927.

2 Texts published in AKT 1 (kt a/k tablets), AKT 2 (kt n/k tablets) and AKT 3 (kt vik tablets); the texts from the 1990
‘excavation season have been published by P. Garelli and C. Michel in TPAK 1. The main excavation reports written by
Tahsin Ozgiig are Tiirk Tarih Kurumu Yayinlarindan V seti 10, 1950, 12, 1953, 19, 1959, 41, 1986, and Sa, 46, 1999, all
published in Ankara. See also Orlin ACC.

> For a recent discussion with an up-to-date bibliography see Michel CMK. General descriptions of the period in Veen-
hof 1995b and Larsen 2000.

* See simply Goitein, S. D. (1967-93). A Mediterranean Society, 1-6. Los Angeles, University of California Press.",0,eng,93.59960468924304,False,1672905926.7266681,1.75
6,"


xii INTRODUCTION

fact alone gives a very special significance to our corpus, which will prove invaluable in future
discussions about the economic structure of ancient societies and the significance of trade.’ How-
ever, the highly technical nature of the philological studies that have been concerned with the Old
Assyrian social and commercial structures has made it difficult for non-specialists to make ade-
quate use of this material and to integrate it into more wide-ranging historical and theoretical dis-
cussions. It is our hope that these editions will facilitate a broader application of the corpus in such
fields.

The texts all stem from private archives that were stored in houses inhabited by Assyrians
in the lower city that surrounded the city-mound of ancient Kane’. The commercial community
that grew up here, the karum Kanes, literally “the Kane port”, based its existence on a pattern of
long-distance trade that involved the importation of quantities of tin and textiles from Assur, some
1,000 kms away on the banks of the river Tigris and the home-city for all the Assyrian traders. Tin,
needed for the production of bronze, came to Assur from unknown sources on or beyond the Ira-
nian plateau, whereas textiles appear to have been partly locally produced and partly imports from
the Babylonian south. The close contacts established with such southern ‘centres as Sippar on the
northern edge of the alluvium are illustrated by a few recently published letters from there®,

The goods were transported from Assur to central Anatolia by donkey caravans that trav-
ersed the Syrian steppe, crossed the Euphrates and reached Kane¥ after having penetrated the Tau-
Tus mountains onto the Anatolian plateau. The tin and the textiles were then either sold on the
market in Kane¥ or they were shipped to other commercial establishments located in a number of
Anatolian cities. The transactions involved in the sale carried out by members of the family or on
commission through agents were often of extraordinary complexity, but the end result was the pro-
curement of silver which could be sent back to Assur in order to be invested in new caravans.’
These procedures are richly illuminated by the texts in this edition.

The documentation for the Old Assyrian period comes mainly from Anatolia. From Assur
itself we have a few royal inscriptions and a small scatter of private texts, but nothing that could
have prepared us for the magnitude and complexity of the Old Assyrian trade. We build our analy-
ses, therefore, on material from the Kane colony, where hundreds of Assyrians had established
themselves, built or bought houses, often married Anatolian women and created new local fami-
lies. :
The texts from Kane¥ cover a period of some 65 years, and they are discovered in houses
that had as a rule been destroyed by fire and abandoned. The picture we can draw on the basis of
our documentation represents a stage in a dynamic development; we must assume that the com-
mercial network had started in a pattern of venture trade with short-term caravan visits to central
Anatolia, and that gradually the traders developed a system of permanent representation abroad in
the most important or most strategically located towns. At the time covered by the texts in this

* See for instance the discussion of the Polanyi paradigm in Veenhof, AOATT, 345-400, and Gledhill and Larsen 1982.

S AbB 12, 51-60.

7 See Garelli, AC, Larsen, OACP, Veenhof, AOATT and Michel, CMK for analyses of the caravan trade and the proce-
dures used in Anatolia. For the complex copper trade see Dercksen OACT.

INTRODUCTION xiii

edition a large group of Assyrian merchants were more or less permanently installed, not just at
Kane& but in several other Anatolian cities, foremost among which were Durhumit and Burus-
haddum, the centers for the production of copper and silver. It is to be assumed that the aban-
donment of the houses in Kane¥ was a local phenomenon, and that the trade continued in some
form based on the other Assyrian colonies in the region.

The commercial structures were based on the families. Typically we find the man in charge
of the family in Assur, from where he directed the activities of his sons, brothers, nephews etc.,
who had a multitude of tasks to perform in the various towns in Anatolia. He was the one who
could guarantee a steady flow of tin and textiles to his people abroad, so their economic existence
was tied directly to his activities.

In the period covered by this dossier Kane¥ was where all families had their Anatolian
headquarters, and it was presumably also here that all caravans from Assur had to come. In Kane8
we therefore find the directors of the Anatolian branches of the family firms, often the oldest son
who had been sent out from the capital to be in charge of the operations abroad. Usually this man
would handle the sale of the merchandise arriving with the caravans, and he would have to dis-
patch other members of the family to carry out jobs in various towns in Anatolia.

Kane was also the administrative centre for the Assyrian presence in the foreign land,
subordinated to the political powers in the capital. The government in Assur was constituted by
three major institutions: the king who had ritual functions, a hereditary position, and who as
chairman of the city assembly was responsible for the implementation of decisions taken by this
body; the assembly was accordingly the other main clement in the constitution, presumably a
council of elders whose judicial functions are particularly well attested; finally, the daily admini-
stration of the city’s economy, including the responsibility for taxes etc., was in the hand of the
year eponym, the limmum, an official who functioned for a year and who appears to have been
chosen by lot among the members of the city assembly.*

The Kane colony was under the direct supervision of the city assembly, and it was re-
sponsible for all matters abroad, i.e. outside of Assur (the City) itself. The other colonies and
trading posts in northern Syria and Anatolia were governed from here and for instance had to go
through the Kane authorities when appealing to the capital.

Some very poorly preserved texts contain fragments of the constitution of the Kane¥ col-
ony, showing us that there was a plenary assembly (karum saher rabi), a council of “great men”
and a scribe who functioned as secretary for these bodies. There was also a not very well under-
stood institution of week eponyms, presumably men who like the year eponyms in Assur func-
tioned in an important administrative capacity during their term of office?

The Assyrian presence in northwestern Syria and Anatolia was based on a system of trea-
ties with local rulers. Two such treaties were found in a house in Kane¥ in 2000, one with the king
of Kane§ and one with the ruler of Hahhum, a major town on the upper Euphrates. These texts still

* For a reconstruction of the Old Assyrian political system see Larsen, OACC.
° For the relationship between the capital and the colonies see Larsen 2000.",0,eng,93.9832975277311,False,1672905929.9949281,1.75
7,"


xiv INTRODUCTION

await publication, but it has long been clear that the treaties included regulations for taxation and
special privileges given to the palaces such as the right to preemption for quantities of textiles,
tules for the restitution of merchandise lost because of robbery or brigandage within the ruler’s
territory, and sections about Assyrian privileges such as extra-territoriality, judicial autonomy
ete,”

The Kane colony had a central office, the bét karim, which appears to have functioned
much like the bét Alim or City Hall in Assur, where the eponym resided. This building has not yet
been uncovered at Kiiltepe, unfortunately, so all of our documentation also for the function of the
governmental institutions both here and in the capital comes from the private archives. The under-
standing of Old Assyrian trade and society is therefore entirely dependent on the study of the
families, i.e. their archives from the houses in Kane’. The Turkish excavations have shown how
the houses had special archive rooms, where the texts would be placed on shelves or in large jars.
The archives contain different groups of texts: the letters from Assur, primarily from the head of
the family, who gives instructions and orders to his representatives and family members in Ana-
tolia; and they also contain the evidence for the way in which these orders were converted into
action: letters from people in other towns, contracts with customers etc., accounts concerning taxes
or the sale of merchandise, and not least judicial texts showing the role played by the authorities in
the regulation of the commercial system.

The reconstruction of archives

The texts dealt with in this edition must of course at one time have been found in such archive
rooms, where they were kept in some kind of order. In dealing with unexcavated texts we are faced
with a very different situation; an archive that formed a closed group when dug up has now been
scattered across the globe, so that texts that were lying next to each other on the shelves of the an-
cient archive rooms are now found in boxes in the Louvre, the British Museum, Yale and in other
public or private collections in many countries. The interconnections between the individual texts
have to be established on the basis of an internal analysis of each document in order to determine
whether it belongs together with other texts, a task that is often very difficult and not rarely impos-
sible to achieve.""""

Until the texts found by Tahsin Ozgiic and his team are made available in publications that
faithfully reflect the archives themselves we are forced to study the Old Assyrian community on
the basis of these scattered, incomplete textual groups. The archival approach to an understanding
of the commercial, social and cultural structures of Old Assyrian society is essential, and it must at
the moment rest primarily on the reconstruction of the unexcavated archives from Kiiltepe.

Reestablishing the contents of an archive, in the sense of that collection of texts that were

See Larsen 1974; cf. also Cegen and Hecker 1995,
"" See for earlier studies of such “archives” Michel, Inndya and Ichisar, Imdilum. See also for some general observations
‘Veenhof 1986a.

INTRODUCTION xv

stored in the house of one particular Assyrian businessman, is an unrealizable task. This comes out
clearly from the work that is now in progress on the actually excavated texts from the Turkish dig,
for we find here a disconcerting variability in those groups of texts that were demonstrably at one
point stored in a house. In some cases, we seem to have sections of several distinct archives in one
house, where the central figures appear to have been in no way related to each other or to have had
close connections at all. The explanation for such a situation must be that several people had en-
trusted their texts to a reliable merchant, a practice that is well-known from the letters where we
hear of documents and other objects such as seals being handed over ana nabsi’im, for safe-
keeping. The merchants traveled a great deal, and it was obviously dangerous to leave documents
lying in houses where no one lived for a couple of months or more.

In other instances where we have a nicely closed group of texts reflecting the activities of
a family firm, we find smaller groups of texts whose presence in the archive seems inexplicable,
since the persons occurring in them cannot be related to any of the members of the family and
since they are not concerned with affairs otherwise treated in the archive. We must presume that in
most cases our inability to see the reason for their presence in this archive is due to our ignorance,
although one possible explanation is again deposit for safe-keeping. We would obviously never
be in a position to even realise that such problems exist when we are confronted with unexcavated
groups of texts. Quite a number of texts contain either no personal names at all (private notes, ac-
counts etc.), and in many debt-notes the name of the creditor is not given, and such texts are often
impossible to assign to any specific group.

These observations show that it would obviously be impossible to arrive at a final and
complete reconstruction of the original archives on the basis of an internal analysis of texts without
any archaeological context. Our editions will therefore simply attempt to collect those texts that
can be demonstrated to be certainly or at least probably part of the dossier of a person or a family.
This means that a number of texts will be impossible to place.

The ASSur-nada dossier

‘The present edition contains 176 texts which all reflect the activities of an Assyrian trader called
‘ASsur-nada who had a house in Kane¥ in which there must have been an archive. He was the son
of a certain A8gur-idi, who lived in Assur from where he directed the activities of a family firm.
This latter person was the father and the boss who ran the firm with the aid of his three sons A8Sur-
nada, Ii-dlum and A8gur-taklaku.

We are therefore dealing with what may be called a typical Old Assyrian archive or dos-
sier, a group of texts that reflect the activities of a limited circle of persons who are related to each
other by kinship ties or who have well-established partnership agreements. Letters discovered at
ancient Kane& were obviously sent to this place from somewhere else (if we for the moment pass

""2 For an example see TPAK 1, where the archive of A8Sur-muttabbil seems to be stored within the archive of Sumi-
abiya.",0,eng,94.42494166787003,False,1672905933.0229912,1.75
8,"


xvi INTRODUCTION

over the archive copies that can be documented in a few cases), and they came either from Assur
or from other Assyrian establishments in Anatolia.

The first group is represented primarily by 43 letters (#1-43) written by the family’s head,
A®8ur-idi, and addressed to other members of the family in Anatolia (stored in Kane) and to busi-
ness relations at Kane8. We have 6 letters (#44-49) addressed to him; one of these is said to have
been bought in Mosul (#46) and could come from illicit diggings at ancient Assur—which would
indicate that the Old Assyrian archives that must have existed there at one time are at least partly
intact and await the luck of an archaeologist. The other five must be archive copies made in Kane$
when the original was being sent off, or they could simply never have been dispatched.

We have 22 letters (#50-71) from A8Sur-nada, the oldest son who was in charge of the fam-
ily’s affairs in Anatolia; since his normal base of operations was Kane¥ where the letters were
found, these 22 texts must have been written by him and sent to Kane§ when he was on journeys in
Anatolia to other colonies and stations or in Assur where he went occasionally. We have 61 letters
(#72-132) sent to him in Kane’.

The edition includes 3 letters (#133-135) exchanged between othet members of the family,
i.e. where A8Sur-nada is not mentioned as recipient or sender, and in all 41 texts (#136-176) of
other types, contracts, quittances, verdicts and private notes.

In most of these cases we are dealing with texts that reached their present collections quite
early, certainly before regular excavations started at Kiiltepe in 1948, and probably much earlier"".
They accordingly stem from one or more archives dug up by the villagers at the beginning of the
twentieth century.

Texts that reflect the activities of ASSur-nada and other members of the family have also
come from Hrozny’s work at Killtepe in 1925 and from the first year of work under the Turkish
archaeologists in 1948. This raises a series of questions which cannot, unfortunately, be given
clear answers. Hrozny did excavate sections of one or more houses at Kiiltepe, and it is possible
that some of the A®Sur-nada texts came from there. In his first year of excavation Tahsin Ozgiig
chose to work at a spot which bordered directly on the old Hrozny trenches, where he discovered
the remains of a house that had belonged to an Assyrian trader called Adad-suliili, a house that
contained an archive of about 800 texts. One might therefore speculate that both Hrozny’s and
Ozgiig’s A8Sur-nada texts were found as part of this archive.

Another possible explanation is of course that both excavators had bought the relevant
tablets from the local people in the village, which would mean that they could have come from the

  

 

A very large number of the texts in this edition come from a few publications: 13 from CCT 3, 15 from CCT 4 (in all
41 texts from the collection in the British Museum); 14 texts from Yale in BIN 4 and 2 in BIN 6; 11 from TC 1 and 12
from TC 3 (in all 33 texts in the Louvre collections, including the TTC texts); 12 from KTS 1 (Istanbul) and 14 from the
Pa, collections at University Museum, Pennsylvania; finally, the old German collections published in KTB, KTH and
KUG contain 15 of our texts, For the British Museum texts it is worth noticing that all texts published in CCT 1-3 were
included in the collections in 1919, nearly all those in CCT 4 in 1921, and two new groups were acquired in 1928, pub-
lished in CCT'5 and 6.

“Cf. Ozglig TRY V seri 10, 1950, and 12, 1953,

INTRODUCTION XVii

same location as the old texts in the various museums.

The situation is somewhat confusing, for it is clear that the texts from 1948, with the
siglum kt a/k, include a relatively large number of texts that referred to A’Sur-nada, his brothers
and especially his son Iddin-I8tar. These texts were clearly found as part of the Adad-sulili ar-
chive. On the other hand, some of the texts published in AKT 1, together with kt a/k texts, had in
fact been purchased from the local villagers and therefore have different museum numbers, and in
this group we also find texts that clearly refer to persons who appear in our dossier. To take an ex-
ample, the letter AKT 1, 15, to A8Sur-nada from his Anatolian wife SigahSuSar, surely must be re-
garded as part of his archive. Among Hrozny’s texts there was likewise a large group which had
not been excavated by him, but which had been bought. Among these we find for instance the text
1490, the marriage contract of A8Sur-nada’s daughter Bstar-lamassi.®

Another problem is that a number of texts that mention the name of one of the persons in
our group could refer to namesakes™, and it is extremely difficult to determine which texts to in-
clude and which should be kept apart.

Since the majority of the texts found in 1948 remain unpublished, it is at this moment not
possible to determine the exact nature of the Adad-sulili archive. We cannot say with certainty,
therefore, why a number of texts that reflect activities of the ASSur-nada family should have
formed part of the archive of another man.

One possible explanation for this state of affairs could be that part of A’Sur-nada’s archive
was moved. The most plausible construction is that he died in Kane¥, so that when his son Iddin-
Istar continued his commercial activities, he became a close associate of Adad-sulili.”” Iddin-Istar
appears to have taken over the running of the family business, albeit under changed circumstances,
and we may assume that he went through A’Sur-nada’s archive and moved the relevant texts to
Adad-sulili’s place. It is understandable that he would have moved all those texts that referred to
current and unfinished business, such as debt-notes, as well as documents that might have rele-
vance for possible litigation; apparently a few older, and in that context irrelevant texts, were taken
at the same time. We cannot know whether Iddin-I8tar continued to live in the old house of his
father’s, in that case presumably together with other surviving members of the family, but his own
archive was no longer stored there."" Accordingly, the letters from Iddin-Istar which could be in-

""S Tt could be argued that this text could have belonged to the archive of the Imdi-ilum family, since the husband, Puzur-
Bitar was a son of this man. Other examples are the debt-notes #150 and 151; A8Sur-néda is the creditor in both, and in
the first we find among the witnesses the person Bezini, surely identical with Mezini who is a witness in #147 and 148.
#174 regulates a debt of 7 minas 17 shekels of silver owed by Iddin-abum to Iddin-Istar, perhaps identical with the per-
son of that name in our dossier; #175 is another contract where Iddin-Istar is the creditor.

""6 For instance, the correspondance between Si-Illil and A8Sur-nida in the Hrozny texts presumably refer to a different
ASur- f. Prague, 24, where Hecker and Kryszat suggest that we are dealing with a namesake who was the son of
Su-IUil.

""This partnership is described by Dercksen, OACT: 101-102. Not all of the family ties reconstructed there can be ac-
cepted, however.

' Tris to be assumed that the old house remained occupied and that A%Sur-nada’s now defunct archive remained stored
there for decades.

  ",0,eng,92.5048235664557,False,1672905936.355045,1.75
9,"


xvi INTRODUCTION

cluded here, because they stem from the old illicit diggings, belong to a period when A’Sur-nada
was still alive and Iddin-I8tar was working for him.

The texts in the Adad-suliili archive must in general be assumed to be younger than the
ones included here. Adad-sulili himself is attested for the years 94-106 (Kryszat 2001: 264),
whereas the texts in the present edition contain dates ranging between the years 77 and 90 with one
isolated text dated to KEL 101; this date is found in #142, a text that seems to show Iddin-I8tar as a
mature man, and one of the few texts in this group where Adad-sulilli is mentioned, as a witness.
A&Sur-nada presumably died shortly after this, so his activities as a merchant in Kane’ may be
dated to roughly year 75-100.”

A total of 176 texts reflecting the activities of a busy merchant firm during a period of
some 25 years is not very impressive. We can be sure that many texts dug up by the villagers have
been lost, not having found their way to a museum or a knowledgable private collector, but it is
remarkable that the coverage is so thin. The 135 letters known may perhaps be taken to constitute
the bulk of the correspondance during the years in question, and it is worth noting that we have 43
letters sent by A’Sur-idi, i.e. nearly two letters a year on average, if we assume that they cover the
period between KEL 75 and 100. However, the existence of only 41 texts of other types raises the
question whether such documents were stored separately or whether they were moved after A8Sur-
nada’s death”. The many references in the letters to loans of all kinds and sizes indicate that a
large number of debt-notes must have existed, to take just one example.

Texts not included

There are several published texts of various types that could have been included here but which
have been excluded because of uncertainty about the identity of the persons appearing in them. To
take an example, the name of Ili-dlum appears as the sender and recipient of a number of letters; as
sender: BIN 4, 61 (with La-gépum to Salim-ahum), TC 3, 85 (to A&Sur-imitti), 86 (to Si-Suen, En-
nam-A8Sur and Iddin-A88ur), ATHE 43 (to Mannum-ki-éniya, Iddin-A8sur and Zumiza), BIN 6, 64
(to Sama8-abi, Lalia and Puzur-Istar); recipient: TC 1, 14 (with La-qépum from Salim-ahum), TC
3, 84 (with lia and ISdu-kén from Ikiinum and Enna-Suen), TC 3, 23 (with La-qépum and Pagu-
kén from Salim-ahum).

Although it is impossible to say with certainty, it seems to me unlikely that any of these
letters refer to Ili-alum son of A8Sur-idi, the person in our group of texts. The name is a very com-
mon one and appears in numerous texts of other types, where nothing revealing is said about the
person, and such texts have also been excluded here. The same is naturally true of the other per-
sons in the dossier.

A further complication arises from the fact that at least some of the members of the family

'° Dates are given in accordance with the Killtepe Eponym List (KEL) to be published by Veenhof as The Old Assyrian
List of Year Eponyms, in press. This list contains the names of the eponyms from the time of EriSum until the end of the
reign of Nardm-Suen, in all 129 years.

® Or, as pointed out to me by Cécile Michel, whether he had moved to Assur with part of his old archive.

INTRODUCTION xix

may have had their own archives that would reflect contacts and relationships which are unattested
in the ASSur-nada dossier. His brothers A’Sur-taklaku and Ili-alum appear to have had their own
families and houses in Kane, and if any of the letters mentioned above should in fact represent the
man Ili-alum from the A’sur-idi family, they would still not necessarily belong to the ASSur-nada
dossier.""

The Family of ASSur-nada

We can only place eleven individuals with certainty on the family tree, and it is not possible to
establish direct links between this small group of persons and other known families, apart from the
marriage of I8tar-lamassi to Imdi-ilum’s son Puzur-Istar. This is in contrast to such families as
those of Imdi-ilum, PiSu-kén or Innaya where we know of the place of many more persons in the
family tree, and it supports the impression one gets of a relatively small family and firm.

AsSur-idi = “our mother”
AsSur-nada Ti-alum ASSur-taklaku
= Imdi-ilum =
Parrurtum” / SisahSusar

 

TStar-ummi

 

Iddin-Istar daughters A$ur-némedi [8tar-lamassi = Puzur-[star

The family tree covers no more than three generations, and it is only in the case of A8Sur-nada’s
branch that we have any knowledge about the third generation, A quick perusal of the list of refeer-
ences to personal names in the indices shows that quite a large number of persons are mentioned in
the texts in this dossier, and it is possible that some of them should be understood to be more dis-
tant relatives, cousins, uncles, nephews etc. However, the reconstruction of the family of A8Sur-idi
is seriously hampered by the unfortunate fact that all the central persons in this group had ex-
tremely common names. For the name A8Sur-idi we have 23 different patronymics attested; 22 are
known for A8sur-nada; 26 different patronymics are attested for A8Sur-taklku, whereas we have
“only” 12 for Ili-lum, In other words, there were some 25 different persons who had the name
ASSur-idi, and the same is true of A8Sur-nida and ASSur-taklaku, most of these individuals proba-
bly being partly contemporary. This fact alone shows not only how difficult it is to know whether
texts where one of these names appear without further identification should be included in the edi-
tion, but also how our reconstructions in many instances must be quite tentative.

See also a text such as JCK 1, 84, a letter to Imdi-ilum, Pi8u-kén, Buzia, Sa-Kibum, ASSur-nadi and Ennam-A8Sur
from A8Sur-taklaku, a letter that presumably belonged to a different archive even though the two brothers appear here.
® See discussion under A8Sur-nada, page xxv.

 

 ",0,eng,90.67323458823529,False,1672905939.076992,1.75
