page_id,page_text,conf_mean,lines_count,warnings,language,correction_stats,reading_order_stats
page_001,"KANIS-KARUM'UNUN BIR MEKTUBU Kani (Kültepe) çehri, M.Ö 2. bin balarndan itibaren Eski Anadolu'nun en önemli siyasi ve ticari merkezi olma özelliini kazanmtir. Hâlen kazilarin devam ettii bu yerleim yerinde, büyük çounluu çeitli ticari konular içeren, yirmi binden fazla Eski Asurca tablet ortaya çikarlmtr. Bu belgeler, Anadolu'nun Eskiça tarihinin aydinlatlmasinda son derece önemli kaynaklardir'. Kültepe'de ele geçen tabletler arasinda krum ve wabartumlarin eitli konularda yazimalar yaptiklarina dâir bir çok belge bulunmaktadr. Bu metinler, genellikle Asur'dan merkez Kani-krumuna yazilm talimatlarin dier krum ve wabartumlara iletilmesi hakkindadr2. Bu yazmalarda merkez krum çounlukla habercilerini (iprum)3 r muhatap almaktadr. Krum-dâiresi herhalde, Anadolu'daki çeitli ehirlerle siki ticari balantilari olan itibarli tüccarlar arasindan haberciler veya bazi elçiler belirleyerek, ticari ve idari konulardaki yeni gelimeleri ve düzenlemeleri, ilgili kurum ve ahislara duyurmaktaydi. Habercilerin, krumdaki kazilarda ortaya ikarlan bazi iyeri sahipleriyle ayni ismi taiyor olmalari, bu kimselerin ayni zamanda birer tüccar olarak ticari hayatta yer * Ankara Üniversitesi, Dil ve Tarih-Corafya Fakültesi. Kültepe tabletlerini yerli ve yabanci Asiriyologlarin çalmalarna açtii ve biz { filologlari, tabletlerin yaynlanmasi konusunda sürekli destekledii için, bata Hocam Prof. Dr. Tahsin Özgüç olmak üzere, Kültepe Kazisi Heyetinin dier uyelerine teekkür ederim. 2 Krum ve wabartumlar arasinda yapilan haberlemelerden bazi örnekler için bk. C. Günbatt1, ""More Examples of Correspondences Between Krum's"" Ar.An 1, s. 107-1 15; S. Çeçen, ""Kani Krum'unun Dier Krum ve Wabartumlar'a ""KU.AN""(amutum) Ile Ilgili Önemli Talimatlar"" Belleten, LX1 / 231, s. 219-232. ζiprum kelimesi hakkinda ilgili sözlüklerden baka (AHw ve CAD) detayli bilgi 3 için bk. M.T. Larsen, OACC, s.146 n. 120 ve s. 276; K.R. Veenhof, Aspects s.252. Rescareh Arehves-Director's Library The Oreniai Institute The University of Chicago Irfan ALBAYRAK*",0.962,39,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 820, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 7.237804878048781, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.458427429199219e-05, ""elements_processed"": 39, ""columns_detected"": 1}"
page_002,"Altoriental. Forsch. 35 (2008) 1 his related report that the tablets of that year came from various trenches.5 Upon their discovery some of the documents were entirely and some partly published by a number of researchers in different periodicals, particularly by K. Balkan. The fact that the place names Balihum and Luhuzattiya in the two new texts under dis-cussion and in one previously published document were recorded together suggests one of two possibilities. The less likely of the two is that Balhum and Luhuzattiya were neigh-bouring centres. This possibility, however, can be considered unlikely in view of the existence of a river and related settlement centre known as Balihum located far from the stations immediately preceding Kani, where Luhuzattiya should be sought.6 The second, and the stronger, possibility is thus that the two centres were recorded together due to them both being cities well known for their wool and wool products. Although these docu-ments include no information relevant to the localization of Balihum and Luhuzattiya, they enable one to suggest that these two cities known for their wools were centres where caprid husbandry played a particularly important role. As is well known, a considerable number of the Kültepe tablets are concerned with wool commerce7. Balihum and Luhuzat-tiya are mentioned in both of the new documents in the context of instructions to give an unknown amount of wool (ptum/síg) to Ennnum, the son of Abya. Kt. c/k 922 3.7 × 4.4 × 1.4 cm. Light Brown um-ma U-sà-num-ma Obv. 1 a-na Ú-sú-ur-i-Itar ù Li-ip-ta-nim qí-bi-ma síG.HI.A qá-tí lu a Ba-li-hi lu a 5 Lu-hu-za-tí-a / a-na En-na-nim DUMU A-bi-a dí-na-ma L. Edge ù ìG1 qá-tí a-na í-mì-im dí-na 10 2/3 ma-na 6 2/3 gíN Rev. Kù.BABBAR a É kà-ri-im lá-ap-ta-ku-ni u-ma 1 ma-na kù.BABBAR i-ta-pu-ku mu-lá kù.BABBAR Li-ip-ta-num 15 li-dí-ma a-na-ku i-na A study to treat certain documents from the 1950 tablets (Kt. c/k 8701608) has been initiated within 4 the scope of a TÜBITAK project implemented by the present author. T. Özgüç 1953, 103. 5 For Luhuzattiya, see Kh. Nashef 1991, 7879. 6 See Veenhof 1972, 130139, for textile and wool commerce in ancient Anatolia according to the 7 Kültepe. 29",0.98,52,,english_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 862, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 6.885150812064965, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 6.318092346191406e-05, ""elements_processed"": 52, ""columns_detected"": 1}"
page_003,"KANIS-KARUM'UNUN BIR MEKTUBU isimleri kaydedilen kimselerin, Asur'da olduklar anlailmaktadir. Kervanin, öncelikle Zalpa'ya urayacai ve orada, tablette kirk olduu için çok iyi anlayamadigimiz, birtakim ilemler halledildikten sonra Kani'e hareket edecegi belirtilmektedir. Mektup, tüccarlar ile yerel saraylar arasindaki ilikilerde krumun üstlendii rol hakkinda dikkate deer bilgiler vermektedir. 5. satrdaki, Kani krumunun, habercilerine yönelik me-er-ú-ni a-tù-nu""sizler bizim oullarimizsiniz"" eklindeki hitabi, onlarin krumun belirledii görevliler veya Asur vatanda1 olmalar münasebetiyle, krum-dâiresinin tabii üyeleri olmalarndan kaynaklanan bir tanimlama olabilir. Mektupta krum, haberciler ve beraberlerindeki kervanin Kani gelmeleri cesaretlendirici konusunda sarayina yapmaktadir. Örnein, Kani sarayinin sadece nishatum-vergisini a-l[i-ni] ""vatandaimiz"" eklinde alacai ve metinde DUMU tanimlanan kimse veya kimselerin istedikleri yere gidebilecekleri kaydedilmitir (st.9-13). Kani sarayinda tüccarlarin herhangi bir mal kaybina uramayacaklari da, krum tarafindan tüccarlara ayrca bildirilmektedir. Dier taraftan, krumun, daha kervan yolda iken, kervanin Kani sarayna sokulaca1 konusunda saray yetkililerine söz verdii anlailmaktadir. Krum, muhtemelen verdii bu sözün gerei olarak, kervanin mutlaka Kani sarayina sokulmasini istemektedir.7 Krum habercilere verdii talimatlarinda, toplantnizda / meclisinizde"" kariliindaki ina puhri-kunu ifadesini siklkla tekrarlayarak, habercilerin çeitli konular görümek üzere toplantilar düzenledikleri ve bir kurul oluturduklari yönündeki r düünceleri dorulamaktadir. 8 Ozellikle tekstil ticaretine konu olan esvalari tasiyan kervanlarn, öncelikle yerel 7 3 açiklamalar mevcut",0.979,38,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 473, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.982948303222656e-05, ""elements_processed"": 38, ""columns_detected"": 1}"
page_004,"Altoriental. Forsch. 35 (2008) 1 a-lá-ki-a Kù.BABBAR a-a-qal-u-um a-hu-ú-a a-tù-nu a-na té-er-tí-a ih-da U. Edge u-ma [E]n-na-num lá-u 20 síG'.H1.A' a-na í-mì-im dí-na Translation: 1-4)From Usnum to Uur-i-Itar and Liptnum: 4-9) Give my share of the wool, be it from the Balihi (type) or from Luhuzattiya, to Ennnum, the son of Abiya, and also sell my share (of the) vegetable oil. 10-16)The 2/3 minas and 6 2/3 shekels of silver which are registered on my name in the house of the Krum: if they have accumulated 1 mina silver, let Liptnum pay the balance of the silver and I will pay the silver to him when I go (there). 17-21)You are my brothers, pay attention to my message! If Ennnum is not there, sell the wool (yourself)! Notes: l. 1 ff.: As far as is known there is only one person with the name Usnum in the known material from krum Kane level II. He is the son of a certain Amur-Aur and is closely associated with the family firm of Imdilum, son of u-Laban. See e.g. BIN VI 228, 13f.: Ú-sà-nim a Im-di-lim. 1. 2: Uur-i-Itar is the son of a certain Asur-imitti, the overall boss of the Imdilum firm, and a cousin of Imdilum. 1. 14: Another attestation for the rarely occurring mul'um ""additional payment, balance (to fill a quota)"" (CAD M II 188b) or ""Ergänzungsbetrag, -menge"" (AHw II 670b). Kt. c/k 944 3.2 × 4.0 × 1.3 cm. Cream-colored 1 um-ma Ú-sà-num-ma Obv. a-na Li-ip-ta-nim qí-bi-ma á-pu-ra-kum um-ma a-na-ku-ma 5 lu síG HI.A lu ma-á-ki-kà lu a Ba-li-hi lu a Lu-hu-za-tí-a/a-na I-na-ar-me-e L. Edge dí-in SíG HI.A Rev. 10 lu a Ba-li-hi lu a Lu-hu-za-tí-a a-na En-na-nim DUMU A-bi-a dí-in a-na GÉMEtim a En-na-nim 15 qi-bi-ma síG.HI.A li-il5-qé-ú 31",0.975,47,,english_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 902, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 6.5798226164079825, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.6253204345703125e-05, ""elements_processed"": 47, ""columns_detected"": 1}"
page_005,"KOLONI CAGINDA YERLI BIR BAYAN ""MADAWADA""Ta-li-a ùI-a-ta-al-kà a-i-ti-u 10 Ma-da-wa-da ti-u Ay i-tù ha-mu-tim sa kà-i-im a qá-té 1-ku-pi-a ITU KAM a sà-ra-dim li-mu-um a qá-té 15 En-na-Su-en6 u-tá-tám a-na si-bi4-it ni-ga-lim i-du-nu KU BABBAR a-na ha-ar-pi-i* i-qu-lu u-ma lá i-qu-lu 1 ma-na-um 20 1/2 ma-na i-sà-hu-ur-u-nu-tí KU BABBAR i-qá-qá-ad i-na ka-ar-pi-ti-im a Ma-da-wa²-da Sk i-ma-da-ad sal-mi-su-nu 25 ra-ki-is Tercüme 1-3) Irium'un mührü, Hapuau'nun mührü, Perua'nn mührü Tamuria'nin 4.10) Madawada Tamuria, Talia ve mührü, Talia'nin mührü, Iatalka'nin mührü, karsi Iatalka'dan 1 mina gümü, yarsi arpa yaris1 buday (olmak üzere) 30 11-13) Ikuppia'dan sonra gelen Kaum'un uval tahil ve 60 ekmek alacaklidir Sarrtum ay1, Enna-Su'en'i takip eden limum'un 13-18) haftasindan balayarak, Eger 19-20) tartmazlarsa 1 minaya 1/2 mina ilâve 10 zamanina kadar tartacaklar 8""i"" iareti burada ya fazladan ya da ""im"" yerine yazilm olmaldr. 6 Metinde bu iaret mi'dir 10 Eski Asur belgelerinde, çeitli mevsimlerde yetien ürünlerin ekim ya da hasat edilme zamanlan, Özellikle borç mukavelelerinde sik kullanlan bir vâdeleme eklidir Burada, ana sibit niggallim nadanum ""orak tutma zamanina kadar vermek""-1",0.982,52,,akkadian_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 596, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 5.340576171875e-05, ""elements_processed"": 52, ""columns_detected"": 1}"
page_006,"Bu metinde de, m'ú'nun, yukarda ele aldigimiz KU.ci a ma-e-su yazimina paralel bir geçisine tanik olmaktayiz. Yine, burada da TUG a ma-e-u ifadesiyle kumasin bir kalitesi anlatilmak istenmis olmaldr. Kumas için böyle bir sifatin kullanlmasi, onun islendii esnada veya tamamlandiktan sonra su içinde bekletmeye veya yikamaya tâbi tutulup kullanima daha sunuldugunu sonra düsündürmektedir. Kültepe metinlerinde, yukarda verdiimiz örneklerin disinda, m'ú kelimesinin atú ""içmek"" filiyle irtibatlandrilarak, mecãzi bir anlamda kullanildii örnekler de vardir. Bu konuda ele almak istediimiz ilk örnek, BIN IV, 29 metninin 43-44. satirlarinda geçen su ifadedir: 4:3) a-na-ku-ma um-ma 4+)LUGALum ma-e i-sé-ri-u-nu lá i-sa-ti 4:3-44)... Ben söyle (söylüyorum):""Kral* onlarin sirtindan su içmeyecek!""Verilen tercümeden de anlasilacai üzere, burada su ile ilgili ilginç bir ifade geçmektedir. Lewy, bu satirlari ""Auf jemandes Rücken Wasser trinken = Birinin sirtindan su içmek"" seklinde tercüme etmekte ve "" bir baska kimseden avantaj salamak"" mânâsinda, mecãzi bir anlatimin söz konusu olduunu belirtmektedir."" Ayni ifade, Kayseri 902"" env. nolu belgenin 20-22. satirlarinda da söyle geçmektedir: M.T. Larsen. buray OACP s. 138'de Su-ri-ni-um-ma olarak okuyup, Surunili(?) seklinde I8 tercüme etmektedir. Yazar ayni yerde, Lewy'nin bu kelimeyi, Habur üzerindeki Tell Suwar'a lokalize edilen Surun / Sirun yer adinin nisbeli yazim olarak degerlendirdigini (Or.NS 21. s. 267, n.7) de haturlatmaktadr. Bize göre, tabletin diger satirlarinda bu yerle ilgili hic bir kaydn olmamasi, Lewy'nin teklifinin zorlama olduguna isaret saylabilir. Biz de emin olmamakla birlikte, bu kelimenin, isaret parçalari biribirine uzak yazilmis bir LUGAL"""" isareti olabilecegini dusünüyor ve böyle okumay deniyoruz. II(Larsen, a.g.y. s. 138. Cécile Michel. Innya II, met. no. 79. s. 110 vd. 20 305",0.966,44,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 706, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 3.8623809814453125e-05, ""elements_processed"": 44, ""columns_detected"": 1}"
page_007,"KULTEPEDEN YENI BIR VASIYETNAME birakti Abalim, Agüa'nin ikinci ei olarak düünülebilir. Belki de Abalim, Agüa'nin, adlarin belirtmeden me-er-u-a ""oullarim"" dedii kimselerin annesiydi. St.8) mi-ma ti-u-ú ""sâhip olduu her ey"" ifadesiyle Agüa herhalde, einin çeyiz (eriktum) ve miras yoluyla baba evinden getirdii mal veya kendi ticari faaliyetlerden elde ettii kazançlari kastetmi olmalidir. St.7-10) ""Ev, gümü ve onun sâhip olduu her ey, O (karim) öldükten Su-Belum'undur. Kani'teki ev Su-Belum'undur""sonra ifadesinde a elemaninin kullanimina dikkat çekmek istiyoruz. a elemanin kendisinden önce say1lan nesnelerin, hemen kendi arkasindan gelen ahsa åit olduunu göstermektedir. Aslnda, bir takim nesneler sayildiktan sonra zittum ""hisse"" veya qtum ""hisse, pay"" kelimelerinden birinin a'dan önce yazilmasi beklenirdi. a elemaninn böyle bir kullanimini, bir mirasin paylailmasi hususunda düzenlenmi olan EL 287 (Jena 369) metninden taniyoruz. Burada öyle denilmektedir: a a-lim*"" zi-tum a Su-mi-a-bi4-a ""Asur'daki ev Sumi-abia'nn hissesidir""St.15) Abalim'in bayan ad1 olarak da geçtiini CCT III, 14,3,32; ICK II 156,5 (Aur-lamassi'nin kiz kardei) gibi bir çok metinden biliyoruz. Burada Abalim'in Agua'ya yakinli açik deildir. Ancak, metnin hemen bainda Agüa'nn, Asur'daki evini birakti ve karis1 (aitia ""karim"") olduunu belirttii bayan herhalde Asur'da oturuyordu. Bilindii üzere; Asurlu tüccarlar Anadolu'da ikinci bir e ile evlenebiliyorlar ve ilk elerini kasitla daha çok aatum -genellikle Asur'da oturuyorlar-, Anadolu'daki elerinden bahisle amtum kelimesini kullanmaya özen gösteriyorlard.11 Dolayis1yla, Abalim'in, Agüa'nin Anadolu'daki ikinci ei olduu düünülebilir. St.16) tù-<na>-sa-ra-ma : Fiili —na metnimize anlam bakmndan uyan narum D ""bir bütünden bir parçay1 ç1karmak, ayirmak"" kökünden (Prs. 3. Tk. h.f) tercüme ediyoruz. Çünkü, warum ""serbest birakmak"", sarú ""zengin olmak"" ve armum ""söküp ç1karmak, kesmek"" fllerinin anlamlari cümlenin ak1ina uymamaktadr. 11. Eski Asur'da kadnlarn statüleri hakknda bk. Y.Kawasaki, Oriento (Japan) 37/1 1994. 9 ile tamamlayarak,",0.976,40,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 671, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 6.031990051269531e-05, ""elements_processed"": 40, ""columns_detected"": 1}"
page_009,"iddia edilebilir. 2. Yapi: Roma Mezar Aniti 35°28' 13.8"" E 39°05' 02.9""E koruma önlemlerinin alinmas1 gerekmektedir. 3. Kizil Höyük 35°31' 18.35""E 39°05' 56.09"" N 10 Türk Arkeoloji Dergisi XXX, 83-103, (Resim: 19). 412 E'deki kalinti ile birleecektir. Buna dayanarak, Eriköy'de bir sur duvarnin olabilecei Felahiye lçesi, Kepiç Köyü sinirlari içinde yer almaktadr. Söz konusu yapinn Geç Roma Çai'na ait bir mezar anit1 olduu bilinmektedir10 (Resim: 9). Bu yapinin yaninda doal kaya üzerinde, Roma Ça1'na ait bir höyük yer almaktadir. Yapi, geçmiten günümüze dein define arayanlarin ve eski eser kaçakçilarnn hedefi olmu ve bu nedenle pek çok tahribata uramtir (Resim: 10). Yapinn bir bölümü çökmü; tonoz üst örtüsü ile arka cephesindeki alnlk penceresi ykilmtir. Yapnin içindeki ayaklarca tainan kemer sayesinde, tonozun y1kilmas1 belli bir noktada, kemer hizasinda durmutur. Fakat tonozun çöküü srasnda, kemerde de statik sorunlar olumu, çökmeler balam; kemer tonozdan ayrilm ve aaiya doru sarkmtir (Resim: 11). Kemerin kilit ta1 da dahil olmak üzere ortasindaki üç kemer blou parçalanm ve yerinden kaymtir. Bu bloklarin herhangi bir sarsinti ya da zaman içindeki bozulmalar1 sonucunda, yerlerinden aaiya dümeleri neticesinde, öncelikle kemer tamamen çökecek, ardndan yapinin tonozundaki yikilma devam edecek ve yapidaki tahribat büyük ölçüde artacaktir. Mevcut durumu ile kemerdeki bozulmalar, yapida ciddi bir çökme tehlikesi yaratmaktadir. Bu ekli ile yapinn içine girilmesi can güvenliini de tehdit etmektedir. Bu tehlikenin yan sira, yap1ya müdahale edilmemesi durumunda meydana gelecek olasi bir çökme, yapinn yikim sürecini balataca1 gibi, bu çökmenin ardindan yaplacak restorasyon da daha zor ve maliyetli olacaktir. Ayrica böyle bir ykim sonucu yapinin özgünlüü bozulacak olmasindan dolay1 yapi telafisi mümkün olmayan büyük bir zarara uram olacaktir. Bütün bu sebeplerden ötürü, bölge için esiz olan ve insan eliyle yaplan tüm tahribatlara ramen halen ayakta duran bu anitsal yapiya acil olarak müdahale edilmesi ve gerekli Kayseri Arkeoloji Müzesi tarafindan kurtarma kazs1 yapilm bir tümülüstür. Grégoire, H., 1909 ""Rapport sur un voyage d' exploration dans le pont et en Cappadoce"" Bulletin de Correspondance Helleniqué, 3-147, (s. 47-48, fig.7-8); Kodan, H.-Günbatti, C., 1992, ""Tontar Roma Mezari""",0.978,36,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 76, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 3.743171691894531e-05, ""elements_processed"": 36, ""columns_detected"": 1}"
page_012,"ESMA ÖZ- IRFAN ALBAYRAK 32 315'te ""kirmiz1lk"" anlamlari verilmektedir. Metinde geçen ifadeler çerçevesinde, kesin bir anlam veremediimiz bu nesnenin, bir tanesi için verilen miktarn 5/6 mina gümü (50 eqel gümü) olarak kaydedilmesi, samtum'un deerli bir madde olduunu göstermektedir. St.16: A-ur-dan [DUMU I]-da-a: Kt.87/k 300'de, Aur-dn, Idya'nin olu olarak geçtii için, kirik kism bu ekilde tamamlamay1 uygun buluyoruz. St.21: Tabletin sol kenarnda satrin ilk iareti olarak kaydedilen heceyi, silik ve küçük yazldi1 için kesin olarak okumak zordur. Burada, bizim de öyle okuduumuz üzere, kötü yazlm bir ku, dolayisiyla Kula ahis adi, veya ù, bu durumda ise olumsuzluk elamani ù-lá söz konusu olabilir. 6. Kt.0/k 147 Müze env. 166-147-64 3,7 x 4,2 x 1,6 cm. siyah renkli 5 mina saf gümüün, Elli ve Uzipikum'un kraliçe k1z1 rubtum'a gönderilmesini konu alan, Asurlu ve yerli ahitlerin arasindaki bir düzenlenmi bir belgedir. Sahitler huzurunda Asurlu'nun, daha çok yerlilere has bir meslek olan ""demirci"" s1fat1 ile ilginçtir. Bu, Kültepe metinlerinde çok sk kaydedilmi olmas1 kar1latmz bir""demirci""olarak adlandrlm baka Asurlu da ahislara durum, Asur'dan Anadolu'ya ticaret yapmak rastlamaktay1z. Bu Mezopotamya kökenli insanlarin, sadece ticari amaciyla gelen faaliyetlerde bulunmadiklarini, o dönemlerde, daha çok yerli halktan insanlarin uratiklar mesleklerden biri olan demircilik de yaptklarn göstermektedir. oy. 5 ma-na KU.BABBAR sa-ru-pá-am 1 ni-is-ha-sú DIRI a-du-a-sú a-bu ku-nu-ki a tám-<kà>-ri-im / A-ur-i-di 23 Kültepe metinlerinde ""demirci"" sifatiyla geçen dier Asurlu ahislar; Aur-malik (ATHE 14: 12; BIN VI,190: 8); Ennnum (Kt.0/k 131: 33; Kt.0/k 149: 14-15; Kt.o/k 160: 9-10) ve Puzúr-Ana (Kt.n/k 85)dir. ArAn 8/2-2005",0.986,61,,turkish_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 949, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 6.253951527924131, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.315376281738281e-05, ""elements_processed"": 61, ""columns_detected"": 1}"
page_019,AKT IV KIIB A-du-da DUMU ru-ba-im KIIB Ma-sà-a DUMU A-ur-ni-im-ri KIIB I-me-li-il5 DUMU u-Ku-bi4-im KIIB A-mur-Aur DUMU A-ur-DU10 KIIB A-bu-a-lim DUMU A-ur-DU10 i-na a-mu-tim sa tám-kà-ru-um ú-du-ú-ma I-dí-Ku-bu-um 15 na-á-pè-er-tám a-sé-er E-ni-ba-á A-bu-a-lim E-ri-ri-a ú ál-ma-hi i-pu-ra-ni A-ur-i-tí-kál a-mu-tám i-a-tí a-ma-lá na-á-pè-er-tim <¯a> I-dí-Ku-bi4-im i-dú-nu-i-ma a-mu-tám a DAM.QAR ú-du-ú-ma I-dí-Ku-bu-um 20 DAM.QARru-ni 3 1/3 ma-na Ku.BABBAR A-bu-a-lim im-sí-ma K∪.BABBAR il5-qé u-ma I-dí-Ku-<bu>-um a ki-ma DAM.QARri-im a-na A-ur-i-tí-kal a-na 3 1/3 ma-na Ku.BABBAR i-tù-ar-u-um A-bu-a-lim ú-ba-áb-u KIIB Dan-A-ur DuMu Ku-u-kà-nim KIIB E-ri-í-im 25 DUMU A-[mur]-dUTU KIIB A-ur-DU10 DUMU En-nam-ma-a-nim 1 ma-na Ku.BABBAR sa-r[u-pá-am i-s]é-er A-ur- DU10 DUMu En-nam-ma-a-nim I-na-ah-DINGIR i-u i-tù ha-mu-u-tim a A-ur-ma-lik Dumu Sú-kà-li-a ITU.1.KAM ma-hu-ur-ì-lú li-mu-um I-na-a 30 DuMu A-mu-ra-a a-na 20 ha-am-a-tim i-a-qal u-ma lá i-qúl 1 1/2 GíN.TA i-ITU.1.K[AM s]í-ib-tám [ú-sa-á]b KIIB A-al-DU10 DUMU Lá-qé-ep KIIB A-lá-hi-im DUMU u-Ku-bi4-im KIIB Ni-[mar-Itar] DUMU En-um-dIM 1/2 ma-na Ku.BABBAR 35 sa-ru-pá-am i-sé-er Ni-mar-Itar I-[na-ah-DINGIR] i-u i-tù ha-mu-tim a Z [u-ku-a] DUMU A-[ur]-i-dí-ma a-na 2 ITU.KAM i-a-[qal] u-ma a-n[a] u4-[mì]-u ma-al-ú-tim lá i-qú-ul ki-ma a-wa-at kà-ri-im 40 sí-ib-tám i-ITU.1.KAM ú-sa-áb ITU.1.KAM a ke-na-tim li-mu-um a qá-té En-um-A-ur DUMU Du-ni-a KIIB I-dí-a-bi4-im DUMU En-um-A-ur KIIB Ma-nu-ki-A-ur b [. . . K1IB] En-um-A-ur 45 DUMU DUMU [A-lá-hi-im x m]a-na 1 1/2 GíN Kù.[BABBAR sa-ru]-pá-am i-sé-er o.K. [En-um-A]-ur DUMU A-lá-hi-im E-ni-ba-á tí-u i-tù ITU.1.KAM Rs. kà-an-wa-ar-ta li-mu-um 50 19 [104] [115+],0.971,55,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 246, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.8160552978515625e-05, ""elements_processed"": 55, ""columns_detected"": 1}"
