page_id,page_text,conf_mean,lines_count,warnings,language,correction_stats,reading_order_stats
page_001,"KANIS-KARUM'UNUN BIR MEKTUBU Kani (Kültepe) çehri, M.Ö 2. bin balarndan itibaren Eski Anadolu'nun en önemli siyasi ve ticari merkezi olma özelliini kazanmtir. Hâlen kazilarin devam ettii bu yerleim yerinde, büyük çounluu çeitli ticari konular içeren, yirmi binden fazla Eski Asurca tablet ortaya çikarlmtr. Bu belgeler, Anadolu'nun Eskiça tarihinin aydinlatlmasinda son derece önemli kaynaklardir'. Kültepe'de ele geçen tabletler arasinda krum ve wabartumlarin eitli konularda yazimalar yaptiklarina dâir bir çok belge bulunmaktadr. Bu metinler, genellikle Asur'dan merkez Kani-krumuna yazilm talimatlarin dier krum ve wabartumlara iletilmesi hakkindadr2. Bu yazmalarda merkez krum çounlukla habercilerini (iprum)3 r muhatap almaktadr. Krum-dâiresi herhalde, Anadolu'daki çeitli ehirlerle siki ticari balantilari olan itibarli tüccarlar arasindan haberciler veya bazi elçiler belirleyerek, ticari ve idari konulardaki yeni gelimeleri ve düzenlemeleri, ilgili kurum ve ahislara duyurmaktaydi. Habercilerin, krumdaki kazilarda ortaya ikarlan bazi iyeri sahipleriyle ayni ismi taiyor olmalari, bu kimselerin ayni zamanda birer tüccar olarak ticari hayatta yer * Ankara Üniversitesi, Dil ve Tarih-Corafya Fakültesi. Kültepe tabletlerini yerli ve yabanci Asiriyologlarin çalmalarna açtii ve biz { filologlari, tabletlerin yaynlanmasi konusunda sürekli destekledii için, bata Hocam Prof. Dr. Tahsin Özgüç olmak üzere, Kültepe Kazisi Heyetinin dier uyelerine teekkür ederim. 2 Krum ve wabartumlar arasinda yapilan haberlemelerden bazi örnekler için bk. C. Günbatt1, ""More Examples of Correspondences Between Krum's"" Ar.An 1, s. 107-1 15; S. Çeçen, ""Kani Krum'unun Dier Krum ve Wabartumlar'a ""KU.AN""(amutum) Ile Ilgili Önemli Talimatlar"" Belleten, LX1 / 231, s. 219-232. ζiprum kelimesi hakkinda ilgili sözlüklerden baka (AHw ve CAD) detayli bilgi 3 için bk. M.T. Larsen, OACC, s.146 n. 120 ve s. 276; K.R. Veenhof, Aspects s.252. Rescareh Arehves-Director's Library The Oreniai Institute The University of Chicago Irfan ALBAYRAK*",0.962,39,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 820, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 7.237804878048781, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.458427429199219e-05, ""elements_processed"": 39, ""columns_detected"": 1}"
page_002,"2 IRFAN ALBAYRAK aldiklarina iaret etmektedir. Bu noktada sorun, krum-dâiresine âit belgelerin neden tüccarlarin arivlerinde ele geçtigidir.4 Asur Ticaret Kolonileri Devrinde Asur'un Anadolu'daki önemli kurumlar1 olan krum-dâireleri, tüccarlarla ve yerel yönetimlerle ilgili önemli belgelerin bir nüshasini muhafaza etmi olmalidir. Metinlerde!uppu a krim ""krumun tableti"", inalana bt krim "" krum evin(d)e"" gibi ifadeler sikça geçmektedir. Ancak kazilarda, idari bir kurum olarak, krum-dâiresinin fiziken varliina iaret eden mimari bir kalntiya henüz rastlanmamtir. Mimari buluntularin eksiklii, gerçekten böyle bir kurumun var olup olmadii konusundaki tartmalar devam ettirse de, belgelerde zikredilen bazi ifadeler Asur Ticaret Kolonileri Çainda, tüccarlarn ticari ve idari konularda yardim aldiklar bir krum-dairesinin varliin aikça ortaya koymaktadir. Örnein aaida bazi satirlarini verdiimiz Kt. o/k 67 metninde bu konuda dikkat çekici bilgiler verilmektedir: lá 4)té-er1-ti-kà a-na 5É kà-ri-im né-ru-ub-ma ®lup-pu-e "")a kà-ri-im 8)né-mu-ur-ma""u-um-kà mì-ma 10)1a gereince krum-dåiresine girdik ve krumun belgelerini kontrol ettik. Senin adin hiç (bir yerde) kaydedilmemitir!"". Burada söylenenler, fiziken bir krum-dâiresinin olduunu ve orada çeitli belgelerin yazilip, korunduunu çok aik bir ekilde ortaya koymaktadir.5 Aaida ilediimiz, Kültepe'de 1988 y1li kazilarnda bulunmu olan, Kt. 88/k 963 envanter numarali mektup', muhtemelen, ayni y1l ele geçen tabletler arasinda kendisine âit bir çok ticari yazma bulunan Aur-rabi adli tüccarin arivindendir Ön ve arka yüzün ortalarina rastlayan küçük bir kisim diinda, salam durumda olan mektup, Kani krumu tarafndan Aur-malik, Aur-rabi ve Nanibatal adli, krumun üç habercisi ile onlarin eliindeki kervan idaresine hitaben yazilmtir. Belgede alici olarak 4 Bu konuda aynntili bilgi için bk. I. Albayrak, ""Kültepe Belgelerine Göre Krum-Dairesinin Idari Yapisi ve Politik Statüsu"", Anadolu Medeniyetleri Müzesi 2002 Yilli1, s. 342-356, Ankara 2003 5 Krum-dairesinde belge düzenlendiine iaret eden dier metinler: Kt. a/k 814: É kà-ri-im "")lá-áp-tù-ni ""Krum-dairesinde kaydedilmi (olan)""; Kt. m/k 44: 10 z 11)K∪ BABBAR i-na É kà-ri-[im]...... 2/ ma-na 2/3 mina gümü (için), adim Krum-dairesinde kayitlidir; KUG 34: 5)ha-ar-ma-am i-na É kà-ri-im ®né-mu-ur-ma ""Zarfl tableti Krum-dairesinde am kontrol ettik.""6 lá-pi-it ""Senin haberin 12)u-mì lá-pì-it ""..6 4) tup-pá-",0.959,53,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 785, ""spans_rejected"": 1, ""cache_hits"": 0, ""cache_misses"": 1, ""avg_latency_ms"": 7.560509554140127, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 5.91278076171875e-05, ""elements_processed"": 53, ""columns_detected"": 1}"
page_003,"KANIS-KARUM'UNUN BIR MEKTUBU isimleri kaydedilen kimselerin, Asur'da olduklar anlailmaktadir. Kervanin, öncelikle Zalpa'ya urayacai ve orada, tablette kirk olduu için çok iyi anlayamadigimiz, birtakim ilemler halledildikten sonra Kani'e hareket edecegi belirtilmektedir. Mektup, tüccarlar ile yerel saraylar arasindaki ilikilerde krumun üstlendii rol hakkinda dikkate deer bilgiler vermektedir. 5. satrdaki, Kani krumunun, habercilerine yönelik me-er-ú-ni a-tù-nu""sizler bizim oullarimizsiniz"" eklindeki hitabi, onlarin krumun belirledii görevliler veya Asur vatanda1 olmalar münasebetiyle, krum-dâiresinin tabii üyeleri olmalarndan kaynaklanan bir tanimlama olabilir. Mektupta krum, haberciler ve beraberlerindeki kervanin Kani gelmeleri cesaretlendirici konusunda sarayina yapmaktadir. Örnein, Kani sarayinin sadece nishatum-vergisini a-l[i-ni] ""vatandaimiz"" eklinde alacai ve metinde DUMU tanimlanan kimse veya kimselerin istedikleri yere gidebilecekleri kaydedilmitir (st.9-13). Kani sarayinda tüccarlarin herhangi bir mal kaybina uramayacaklari da, krum tarafindan tüccarlara ayrca bildirilmektedir. Dier taraftan, krumun, daha kervan yolda iken, kervanin Kani sarayna sokulaca1 konusunda saray yetkililerine söz verdii anlailmaktadir. Krum, muhtemelen verdii bu sözün gerei olarak, kervanin mutlaka Kani sarayina sokulmasini istemektedir.7 Krum habercilere verdii talimatlarinda, toplantnizda / meclisinizde"" kariliindaki ina puhri-kunu ifadesini siklkla tekrarlayarak, habercilerin çeitli konular görümek üzere toplantilar düzenledikleri ve bir kurul oluturduklari yönündeki r düünceleri dorulamaktadir. 8 Ozellikle tekstil ticaretine konu olan esvalari tasiyan kervanlarn, öncelikle yerel 7 3 açiklamalar mevcut",0.979,38,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 473, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.982948303222656e-05, ""elements_processed"": 38, ""columns_detected"": 1}"
page_004,"IRFAN ALBAYRAK 4 Kt. 88/k 963 Müze Env. No: 1-810-88; (8,6 x 5,8 x 2,1 cm. devetüyü renkli) Öy. um-ma kà-ru-um 1 Kà-ni-i-ma a-na A-ùr-ma-lik A-ùr-GAL Na-ni-ba-tal i-ip-ri-ni ú ELLATtim qí-bi4-ma 5 me-er-ú-ni/a-tù-nu a-na-kam / A-X-BAR-TUM a É.GALim / SIG5 mi-ma li-ba-ak-nu lá i-pá-ri-id i-na UTUi a a-na 10 Kà-ni-i / té-ra-ba-ni- nil É.GALúm / ni-is-ha-[tám] i-lá-qí-ma / DUMU a-l[i-ni²] li-bi4-u / i-la-a[k] hu-lu-qá-ú / mì-ma i-na É.GALlim lá i-ba-í 15 ù a-na ELLAT tim sé-ru-bi4-im / pì-i-ni a-na É.GAL lim Ak. ni-dí-in / i-[nu-mì] 20 tup-pí-ni] [i-na A-]lim Ay. ta-a-me- a'-[ni] [i]-na pu-ùh-ri-[ku]-nu a-na Za-al-pá s[é]-er-da-nim ki-ma a'-na1 rZa]-[a]l-pá 25 té-ru-ba-ni / mu-[e-ma-ri-ku-nu i-tup-pì-[2 ZA-AK-DU-TIM i-pá-5ni'7-[tim] i-na pu-ùh-ri-ku-nu er-[s]a²-ma ba-á-tám a-lá-am A-ùr 30 kà-ra-am ú ra-ma-na-tí-ku-nu u-uk-na-ma / i-na mì-ma e-ma qá-at-ku-nu sa-ba-tán a-na a te-ra-ba-ni-ni kà-ru-um 35 i-le-e I",0.962,53,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 510, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 5.650520324707031e-05, ""elements_processed"": 53, ""columns_detected"": 1}"
page_005,"KOLONI CAGINDA YERLI BIR BAYAN ""MADAWADA""Ta-li-a ùI-a-ta-al-kà a-i-ti-u 10 Ma-da-wa-da ti-u Ay i-tù ha-mu-tim sa kà-i-im a qá-té 1-ku-pi-a ITU KAM a sà-ra-dim li-mu-um a qá-té 15 En-na-Su-en6 u-tá-tám a-na si-bi4-it ni-ga-lim i-du-nu KU BABBAR a-na ha-ar-pi-i* i-qu-lu u-ma lá i-qu-lu 1 ma-na-um 20 1/2 ma-na i-sà-hu-ur-u-nu-tí KU BABBAR i-qá-qá-ad i-na ka-ar-pi-ti-im a Ma-da-wa²-da Sk i-ma-da-ad sal-mi-su-nu 25 ra-ki-is Tercüme 1-3) Irium'un mührü, Hapuau'nun mührü, Perua'nn mührü Tamuria'nin 4.10) Madawada Tamuria, Talia ve mührü, Talia'nin mührü, Iatalka'nin mührü, karsi Iatalka'dan 1 mina gümü, yarsi arpa yaris1 buday (olmak üzere) 30 11-13) Ikuppia'dan sonra gelen Kaum'un uval tahil ve 60 ekmek alacaklidir Sarrtum ay1, Enna-Su'en'i takip eden limum'un 13-18) haftasindan balayarak, Eger 19-20) tartmazlarsa 1 minaya 1/2 mina ilâve 10 zamanina kadar tartacaklar 8""i"" iareti burada ya fazladan ya da ""im"" yerine yazilm olmaldr. 6 Metinde bu iaret mi'dir 10 Eski Asur belgelerinde, çeitli mevsimlerde yetien ürünlerin ekim ya da hasat edilme zamanlan, Özellikle borç mukavelelerinde sik kullanlan bir vâdeleme eklidir Burada, ana sibit niggallim nadanum ""orak tutma zamanina kadar vermek""-1",0.982,52,,akkadian_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 596, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 5.340576171875e-05, ""elements_processed"": 52, ""columns_detected"": 1}"
page_006,"Bu metinde de, m'ú'nun, yukarda ele aldigimiz KU.ci a ma-e-su yazimina paralel bir geçisine tanik olmaktayiz. Yine, burada da TUG a ma-e-u ifadesiyle kumasin bir kalitesi anlatilmak istenmis olmaldr. Kumas için böyle bir sifatin kullanlmasi, onun islendii esnada veya tamamlandiktan sonra su içinde bekletmeye veya yikamaya tâbi tutulup kullanima daha sunuldugunu sonra düsündürmektedir. Kültepe metinlerinde, yukarda verdiimiz örneklerin disinda, m'ú kelimesinin atú ""içmek"" filiyle irtibatlandrilarak, mecãzi bir anlamda kullanildii örnekler de vardir. Bu konuda ele almak istediimiz ilk örnek, BIN IV, 29 metninin 43-44. satirlarinda geçen su ifadedir: 4:3) a-na-ku-ma um-ma 4+)LUGALum ma-e i-sé-ri-u-nu lá i-sa-ti 4:3-44)... Ben söyle (söylüyorum):""Kral* onlarin sirtindan su içmeyecek!""Verilen tercümeden de anlasilacai üzere, burada su ile ilgili ilginç bir ifade geçmektedir. Lewy, bu satirlari ""Auf jemandes Rücken Wasser trinken = Birinin sirtindan su içmek"" seklinde tercüme etmekte ve "" bir baska kimseden avantaj salamak"" mânâsinda, mecãzi bir anlatimin söz konusu olduunu belirtmektedir."" Ayni ifade, Kayseri 902"" env. nolu belgenin 20-22. satirlarinda da söyle geçmektedir: M.T. Larsen. buray OACP s. 138'de Su-ri-ni-um-ma olarak okuyup, Surunili(?) seklinde I8 tercüme etmektedir. Yazar ayni yerde, Lewy'nin bu kelimeyi, Habur üzerindeki Tell Suwar'a lokalize edilen Surun / Sirun yer adinin nisbeli yazim olarak degerlendirdigini (Or.NS 21. s. 267, n.7) de haturlatmaktadr. Bize göre, tabletin diger satirlarinda bu yerle ilgili hic bir kaydn olmamasi, Lewy'nin teklifinin zorlama olduguna isaret saylabilir. Biz de emin olmamakla birlikte, bu kelimenin, isaret parçalari biribirine uzak yazilmis bir LUGAL"""" isareti olabilecegini dusünüyor ve böyle okumay deniyoruz. II(Larsen, a.g.y. s. 138. Cécile Michel. Innya II, met. no. 79. s. 110 vd. 20 305",0.966,44,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 706, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 3.8623809814453125e-05, ""elements_processed"": 44, ""columns_detected"": 1}"
page_007,"KULTEPEDEN YENI BIR VASIYETNAME birakti Abalim, Agüa'nin ikinci ei olarak düünülebilir. Belki de Abalim, Agüa'nin, adlarin belirtmeden me-er-u-a ""oullarim"" dedii kimselerin annesiydi. St.8) mi-ma ti-u-ú ""sâhip olduu her ey"" ifadesiyle Agüa herhalde, einin çeyiz (eriktum) ve miras yoluyla baba evinden getirdii mal veya kendi ticari faaliyetlerden elde ettii kazançlari kastetmi olmalidir. St.7-10) ""Ev, gümü ve onun sâhip olduu her ey, O (karim) öldükten Su-Belum'undur. Kani'teki ev Su-Belum'undur""sonra ifadesinde a elemaninin kullanimina dikkat çekmek istiyoruz. a elemanin kendisinden önce say1lan nesnelerin, hemen kendi arkasindan gelen ahsa åit olduunu göstermektedir. Aslnda, bir takim nesneler sayildiktan sonra zittum ""hisse"" veya qtum ""hisse, pay"" kelimelerinden birinin a'dan önce yazilmasi beklenirdi. a elemaninn böyle bir kullanimini, bir mirasin paylailmasi hususunda düzenlenmi olan EL 287 (Jena 369) metninden taniyoruz. Burada öyle denilmektedir: a a-lim*"" zi-tum a Su-mi-a-bi4-a ""Asur'daki ev Sumi-abia'nn hissesidir""St.15) Abalim'in bayan ad1 olarak da geçtiini CCT III, 14,3,32; ICK II 156,5 (Aur-lamassi'nin kiz kardei) gibi bir çok metinden biliyoruz. Burada Abalim'in Agua'ya yakinli açik deildir. Ancak, metnin hemen bainda Agüa'nn, Asur'daki evini birakti ve karis1 (aitia ""karim"") olduunu belirttii bayan herhalde Asur'da oturuyordu. Bilindii üzere; Asurlu tüccarlar Anadolu'da ikinci bir e ile evlenebiliyorlar ve ilk elerini kasitla daha çok aatum -genellikle Asur'da oturuyorlar-, Anadolu'daki elerinden bahisle amtum kelimesini kullanmaya özen gösteriyorlard.11 Dolayis1yla, Abalim'in, Agüa'nin Anadolu'daki ikinci ei olduu düünülebilir. St.16) tù-<na>-sa-ra-ma : Fiili —na metnimize anlam bakmndan uyan narum D ""bir bütünden bir parçay1 ç1karmak, ayirmak"" kökünden (Prs. 3. Tk. h.f) tercüme ediyoruz. Çünkü, warum ""serbest birakmak"", sarú ""zengin olmak"" ve armum ""söküp ç1karmak, kesmek"" fllerinin anlamlari cümlenin ak1ina uymamaktadr. 11. Eski Asur'da kadnlarn statüleri hakknda bk. Y.Kawasaki, Oriento (Japan) 37/1 1994. 9 ile tamamlayarak,",0.976,40,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 671, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 6.031990051269531e-05, ""elements_processed"": 40, ""columns_detected"": 1}"
page_009,"iddia edilebilir. 2. Yapi: Roma Mezar Aniti 35°28' 13.8"" E 39°05' 02.9""E koruma önlemlerinin alinmas1 gerekmektedir. 3. Kizil Höyük 35°31' 18.35""E 39°05' 56.09"" N 10 Türk Arkeoloji Dergisi XXX, 83-103, (Resim: 19). 412 E'deki kalinti ile birleecektir. Buna dayanarak, Eriköy'de bir sur duvarnin olabilecei Felahiye lçesi, Kepiç Köyü sinirlari içinde yer almaktadr. Söz konusu yapinn Geç Roma Çai'na ait bir mezar anit1 olduu bilinmektedir10 (Resim: 9). Bu yapinin yaninda doal kaya üzerinde, Roma Ça1'na ait bir höyük yer almaktadir. Yapi, geçmiten günümüze dein define arayanlarin ve eski eser kaçakçilarnn hedefi olmu ve bu nedenle pek çok tahribata uramtir (Resim: 10). Yapinn bir bölümü çökmü; tonoz üst örtüsü ile arka cephesindeki alnlk penceresi ykilmtir. Yapnin içindeki ayaklarca tainan kemer sayesinde, tonozun y1kilmas1 belli bir noktada, kemer hizasinda durmutur. Fakat tonozun çöküü srasnda, kemerde de statik sorunlar olumu, çökmeler balam; kemer tonozdan ayrilm ve aaiya doru sarkmtir (Resim: 11). Kemerin kilit ta1 da dahil olmak üzere ortasindaki üç kemer blou parçalanm ve yerinden kaymtir. Bu bloklarin herhangi bir sarsinti ya da zaman içindeki bozulmalar1 sonucunda, yerlerinden aaiya dümeleri neticesinde, öncelikle kemer tamamen çökecek, ardndan yapinin tonozundaki yikilma devam edecek ve yapidaki tahribat büyük ölçüde artacaktir. Mevcut durumu ile kemerdeki bozulmalar, yapida ciddi bir çökme tehlikesi yaratmaktadir. Bu ekli ile yapinn içine girilmesi can güvenliini de tehdit etmektedir. Bu tehlikenin yan sira, yap1ya müdahale edilmemesi durumunda meydana gelecek olasi bir çökme, yapinn yikim sürecini balataca1 gibi, bu çökmenin ardindan yaplacak restorasyon da daha zor ve maliyetli olacaktir. Ayrica böyle bir ykim sonucu yapinin özgünlüü bozulacak olmasindan dolay1 yapi telafisi mümkün olmayan büyük bir zarara uram olacaktir. Bütün bu sebeplerden ötürü, bölge için esiz olan ve insan eliyle yaplan tüm tahribatlara ramen halen ayakta duran bu anitsal yapiya acil olarak müdahale edilmesi ve gerekli Kayseri Arkeoloji Müzesi tarafindan kurtarma kazs1 yapilm bir tümülüstür. Grégoire, H., 1909 ""Rapport sur un voyage d' exploration dans le pont et en Cappadoce"" Bulletin de Correspondance Helleniqué, 3-147, (s. 47-48, fig.7-8); Kodan, H.-Günbatti, C., 1992, ""Tontar Roma Mezari""",0.978,36,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 76, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 3.743171691894531e-05, ""elements_processed"": 36, ""columns_detected"": 1}"
page_019,AKT IV KIIB A-du-da DUMU ru-ba-im KIIB Ma-sà-a DUMU A-ur-ni-im-ri KIIB I-me-li-il5 DUMU u-Ku-bi4-im KIIB A-mur-Aur DUMU A-ur-DU10 KIIB A-bu-a-lim DUMU A-ur-DU10 i-na a-mu-tim sa tám-kà-ru-um ú-du-ú-ma I-dí-Ku-bu-um 15 na-á-pè-er-tám a-sé-er E-ni-ba-á A-bu-a-lim E-ri-ri-a ú ál-ma-hi i-pu-ra-ni A-ur-i-tí-kál a-mu-tám i-a-tí a-ma-lá na-á-pè-er-tim <¯a> I-dí-Ku-bi4-im i-dú-nu-i-ma a-mu-tám a DAM.QAR ú-du-ú-ma I-dí-Ku-bu-um 20 DAM.QARru-ni 3 1/3 ma-na Ku.BABBAR A-bu-a-lim im-sí-ma K∪.BABBAR il5-qé u-ma I-dí-Ku-<bu>-um a ki-ma DAM.QARri-im a-na A-ur-i-tí-kal a-na 3 1/3 ma-na Ku.BABBAR i-tù-ar-u-um A-bu-a-lim ú-ba-áb-u KIIB Dan-A-ur DuMu Ku-u-kà-nim KIIB E-ri-í-im 25 DUMU A-[mur]-dUTU KIIB A-ur-DU10 DUMU En-nam-ma-a-nim 1 ma-na Ku.BABBAR sa-r[u-pá-am i-s]é-er A-ur- DU10 DUMu En-nam-ma-a-nim I-na-ah-DINGIR i-u i-tù ha-mu-u-tim a A-ur-ma-lik Dumu Sú-kà-li-a ITU.1.KAM ma-hu-ur-ì-lú li-mu-um I-na-a 30 DuMu A-mu-ra-a a-na 20 ha-am-a-tim i-a-qal u-ma lá i-qúl 1 1/2 GíN.TA i-ITU.1.K[AM s]í-ib-tám [ú-sa-á]b KIIB A-al-DU10 DUMU Lá-qé-ep KIIB A-lá-hi-im DUMU u-Ku-bi4-im KIIB Ni-[mar-Itar] DUMU En-um-dIM 1/2 ma-na Ku.BABBAR 35 sa-ru-pá-am i-sé-er Ni-mar-Itar I-[na-ah-DINGIR] i-u i-tù ha-mu-tim a Z [u-ku-a] DUMU A-[ur]-i-dí-ma a-na 2 ITU.KAM i-a-[qal] u-ma a-n[a] u4-[mì]-u ma-al-ú-tim lá i-qú-ul ki-ma a-wa-at kà-ri-im 40 sí-ib-tám i-ITU.1.KAM ú-sa-áb ITU.1.KAM a ke-na-tim li-mu-um a qá-té En-um-A-ur DUMU Du-ni-a KIIB I-dí-a-bi4-im DUMU En-um-A-ur KIIB Ma-nu-ki-A-ur b [. . . K1IB] En-um-A-ur 45 DUMU DUMU [A-lá-hi-im x m]a-na 1 1/2 GíN Kù.[BABBAR sa-ru]-pá-am i-sé-er o.K. [En-um-A]-ur DUMU A-lá-hi-im E-ni-ba-á tí-u i-tù ITU.1.KAM Rs. kà-an-wa-ar-ta li-mu-um 50 19 [104] [115+],0.971,55,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 246, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 4.8160552978515625e-05, ""elements_processed"": 55, ""columns_detected"": 1}"
page_021,AKT IV 20 25 30 35 40 45 Rs. 50 55 21 [x ma-na Ku].BABBAR sa-ru-pá-am i-[sé]-er / ¯u-li DUMu Me-ra-lí [Hu-ni-a i]-u / ITU.KAM té-i-na-tim / li-mu-um I-lí-dan [99/124] a-na [¯a]-na-at / i-a-qal / u-[ma] lá i-qú-ul 1/3 ma-na a-na 1 ma-na-im si-ib-[tám] ú-sa-áb Ki1B Sà-ak-li-a DUMU u-Itar KIIB A-ùr-[ni]-u DUMU A-mur-Itar KIIB Il5-ba-ni DUMU A-mur-Itar / 2 ma-na 10 GíN Kù.BABBAR sa-ru-pá-am / i-sé-er Il5-ba-ni DUMu A-mur-I[tar] <Hu-ni-a> DuMu A-ur-i-mi-ti / i-u i-tù ha-mu-u-[tim] a A-ur-ták-lá-[ku] DuMu A-lá-hi-im / a-na 20 ha-am-a-tim i-a-qal / u-ma / lá i-qú-ul 1 1/2 GíN.TA / a-na 1 ma-na-im i-ITU.KAM sí-ib-tám / ú-sa-áb ITU.KAM kán-mar-ta [107] li-mu-um / A-sùr-i-mì-tí / ma-lá-hu-um KIB [Puzur4-A]-ùr DUMU u-Be-lim / KI1B A-gi-a DUMU [. . . ]-im [KIIB Pá-ta]-a DUMU Lá-qé-pi-im / 5/6 ma-na 2 GíN [κu.BABBAR] [sa]-ru-pá-am i-sé-er Pá-ta-a DuMu [Lá-qé-pì-im] [Hu]-ni-a i-u i-tù / ITU.KAM ma-hu-ur-[DINGIR] a-na 1 ma-na-em / i-ITU.KAM sí-ib-tá[m ú-sa-áb] a-li e-mu-ru-u / kù.BABBARáp -u i-lá-[qé] KIIB Sá-ak-li-a [DUMU ¯u]-Ku-bi-im / K11B Sà-[... KIIB I-[ku]-pí-im DUMU A-ùr-i-mì-tí / KIIB [. . . DUMu Dan-A-ùr / 2 ma-na Ku.BABBAR sa-ru-pá-am [i-sé-er] NB: nach Foto! Sá-ak-li-a DUMU u-Ku-bi4-im Hu'-ni-−[a] i-u i-tù / ha-mu-<u>-tim a En-um-A-sùr DuMu ál-ma-hi-im a-na 10 ha-am-a-tim / i-a-qal / u-ma lá i-qú-ul 1 1/2 GíN.TA Kù.BABBAR a-na 1 ma-na-im si-ib-tám / i-na ITU.KAMim / ú-sa-ab [107] ITU.KAM s-ip-im / li-mu-um A-ùr-i-mì-t KIIB Sà-ak-li-a DUMU u-Itar KIIB I-ku-pì-A-ùr DUMU Puzúr-Itar KIIB Ir-ma-A-ùr DUMU Ni-de8-ba-ni i-na 1/3 ma-[na Ku].BABBAR a Ú-sur-a-Itar ù Hu-ni-a / [i]-na qá-tí / Ir-ma-A-ùr <DuMu> Ni-de8-ba-ni /um-ma Ir-ma-A-sùr-ma À.BA 5 GíN Kù.BABBAR / a-na a-limki a-sí a ki-ma / i-a-tí / ú-ta-e-er um-ma a-na-ku-ma / a-na U-sur-a-Itar ù Hu-ni-a / dí-in / u-ma 5 GíN Kù.BABBAR i-na a-limki / a ki-ma Ir-ma-A-ur / a-na U-sur-a-Itar / ú Hu-ni-a / lá i-dí-in,0.961,54,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 206, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {""invalid_json"": 1}}","{""processing_time"": 5.626678466796875e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
