pdf_name,page_number,cer,wer,is_akkadian,llm_corrections,gold_length,ocr_length
27_arastirma_3-libre.pdf,9,0.12746344564526382,0.4301675977653631,False,0,2950,2820
28_arastirma_3-libre.pdf,9,0.3771078180889116,0.652,False,0,1838,2313
"AKT 1, 1990.pdf",21,0.7581957111165886,1.038888888888889,False,0,3866,6105
"AKT 2, 1995.pdf",36,2.0089485458612977,2.195876288659794,False,0,3416,9194
"AKT 4, 2006.pdf",21,2.656644880174292,2.4759615384615383,False,0,2305,7285
AKT 4.pdf,19,3.8781925343811396,3.9465408805031448,False,0,2070,8969
"AKT 4b, 2006.pdf",52,13.670344827586208,12.179487179487179,True,0,691,10164
Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf,4,10.62934362934363,11.307142857142857,False,0,984,11413
Albayrak_2000_ArAn4_testament.pdf,2,6.269172168613509,6.465454545454546,False,0,1934,13480
Albayrak_2001_AMMY2000_ma'usu.PDF,5,16.900473933649288,18.55855855855856,False,0,804,14496
Albayrak_2002_ArAn5_listesi.pdf,2,7.858501783590963,6.486486486486487,False,0,1655,14034
Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf,3,10.103078982597054,13.052941176470588,False,0,1434,15754
Albayrak_2003_ArAn6_karum.pdf,4,16.28235294117647,15.097222222222221,False,0,907,15425
AKT 6c.pdf,33,4.0250255362614915,4.797665369649805,False,0,3928,17890
AKT 7a.pdf,10,8.400593471810089,10.610878661087867,True,0,1901,17890
AKT 7a.pdf,35,13.027720027720028,14.708791208791208,True,0,1347,19286
Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf,5,30.727699530516432,27.04854368932039,False,0,598,19471
Albayrak_2000_ArAn4_testament.pdf,6,16.218652037617556,16.521978021978022,False,0,1224,21078
Albayrak_2000_ArAn4_vasiyetname.pdf,7,9.089663760896638,10.82312925170068,False,0,2291,23156
Albayrak_2001_AMMY2000_ma'usu.PDF,6,16.983038348082594,18.201117318435752,False,0,1295,23415
Albayrak_2002_ArAn5_listesi.pdf,1,9.155192088246482,7.424507658643326,False,0,2578,25347
Albayrak_2003_ArAn 6-1_Kanes Karum unun bir mektubu.pdf,2,15.754007398273735,17.313725490196077,False,0,1541,26153
Albayrak_2003_ArAn6_karum.pdf,1,18.621660649819496,19.966101694915253,False,0,1321,26244
Albayrak_2008_AOF 35-1_The Topynym Balihum in the Kültepe Texts.pdf,2,59.789592760180994,53.11764705882353,False,0,414,26045
Albayrak_2008_The Toponim Balihum..Altorientalische Forschungen.pdf,4,69.18066157760815,61.91803278688525,False,0,376,26789
"Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",12,37.21168831168831,43.92391304347826,True,0,707,28524
"Albayrak, İrfan - 1963 yili kazilarinda ele geçen yerlı halkla ılgılı bır kültepe tabletı. UHKB 5, 2005 21-32.pdf",3,53.129629629629626,49.73170731707317,False,0,518,28372
Adams_1982_Property_Rights.PDF,3,8.582453290008123,7.906412478336222,False,0,3707,34465
"Alexander, Robert L. - Native Group Cylinder Seal Engravers of Karum Kanish Level II. Belleten 43 (171-172), 1979 573-618.pdf",5,7.647156792767071,7.472477064220183,False,0,4214,35011
"Ali , Ayhan , Hasan_2003_IV. Kayseri ve Yoresi Tarih Sempozyumu Bildirileri.PDF",5,7.80519784593772,9.277777777777779,False,0,4100,36314
Alp_sahhan und luzzi.pdf,2,20.89994148624927,23.2152466367713,False,0,1701,36399
Alp_spasiya and sapasalli.pdf,2,25.76228906823184,26.53723404255319,False,0,1346,35588
"Alster, B. & Oshima, T. - Sargonic Dinner at Kanes. The Old Assyrian Sargon Legend. Iraq 70, 2007 1-20.pdf",6,18.09252336448598,16.011527377521613,False,0,2139,40041
Altman_2001_EA_59.PDF,9,8.818046392849542,7.473081328751432,True,0,4660,44378
