pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-09T16:34:02.466305
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,2933,True,1.14,,2025-10-09T16:34:03.704239
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,85,True,14.63,,2025-10-09T16:34:18.331879
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,1112,True,13.46,,2025-10-09T16:34:31.793350
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\momrak.pdf,168,True,0.51,,2025-10-09T16:34:32.308562
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,365,True,1.31,,2025-10-09T16:34:33.616608
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\TC 2, 1928.pdf",13,True,11.50,,2025-10-09T16:34:45.124530
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\PRU III combined.pdf,351,True,12.38,,2025-10-09T16:34:57.505927
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,365,True,1.13,,2025-10-09T16:34:58.633505
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,2987,True,0.91,,2025-10-09T16:34:59.539735
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,597,True,1.05,,2025-10-09T16:35:00.589502
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Hirsch_1972_Or41_zum_altassyrischen.pdf,17,True,20.30,,2025-10-09T16:35:20.895952
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (1).pdf,1962,True,15.53,,2025-10-09T16:35:36.431978
