pdf_name,page,page_text,has_akkadian
Keibi67-Band 67 (2008).pdf,69,"Keilschriftbibliographie.67\n69*\n803.\nMarzahn, Joachim, Von der Grabung zum Museum -\nBabyion wird\nsichtbar: Marzahn, J. -\nSchauerte, G. (Hg.), Babyion -\nKatalogband\nWahrheit (2008) [67:797] 91-98.\n804.\nMarzahn, Joachim, Babyion -\nMetropole aus Lehm: Marzahn, J. -\nSchauerte, G. (Hg.), Babyion- Katalogband Wahrheit (2008) [67:797] 139-\n148.\n805.\nMarzahn, Joachim, Die Arbeitswelt- Wirtschaft und Verwaltung- Handel\nund Profit: Marzahn, J. - Schauerte, G. (Hg.), Babyion - Katalogband\nWahrheit (2008) [67:797] 231-256.\n806.\nMarzahn, Joachim, Robert Koldewey - Ein Lebensbild: Wartke, R.-B.\n(Hg.),\nAuf dem\nWeg\nnach\nBabylon.\nRobert Koldewey -\nEin\nArchäologenleben (2008) [67: 1345] 8-27.\n807.\nMasetti-Rouault, Maria Grazia, Mari et Je Moyen-Euphrate au Bronze\nRecent et a l'äge du Fer. Problemes historiques: Margueron, J.-C. -\nRouault, 0.- Lombard, P. (Hg.), Akh Purattim 1 (2007) [67:785] 281-300.\n808.\nMasetti-Rouault, Maria Grazia, Armes et armees des dieux dans les\ntraditions mesopotamiennes: Abrahami, Ph.- Battini, L. (Hg.), Les armees\ndu Proehe-Grient ancien (III•-1• mill. av. J.-C.) (BAR International Series\n1855. 2008) [67:1] 219-229.\n809.\nMasson, Emilia, Testament politique de Hattusili 1•r: encore et toujours:\nSMEA 50 (2008) 513-520.\n810.\nMatthes, Olaf, Deutsche Ausgräber im Vorderen Orient: Trümpler, Ch.,\n(Hg.), Das große Spiel. Archäologie und Politik zur Zeit des Kolonialismus\n(1860-1940) (2008) [67:1289] 227-237.\n811.\nMatthes, Olaf, Robert Koldewey im Orient: Wartke, R.-B. (Hg.), Auf dem\nWeg nach Babylon. Robert Koldewey -\nEin Archäologenleben (2008)\n[67:1345] 70-89.\n812.\nMatthews, Roger, Sealsand Sealing Practices in Upper Mesopotamia and\nIran in the Ubaid Period: Fs Kühne (2008) [67:668] 277-282.\n813.\nMatthiae, Paolo, Ebla: Aruz, J.- Benze!, K.- Evans, J.M. (Hg.), Beyond\nBabylon. Art, Trade, and Diplomacy in the Second Millennium B.C. (2008)\n[67:75] 34-35.\n814.\nMaul, Stefan M., L'Epopee de Gilgamesh: Andre-Salvini, B. (Hg.),\nBabytone (2008) [67:40] 348-351.\n815.\nMaul, Stefan M., Tor der Götter: AW 39/4 (2008) 21-29.",false
AKT 7a.pdf,154,122 S. BAYRAM-R K8Z8OĞL8\n$EED¶QÕQ2÷OX$EXP-LOƯ¶QLQ0HWLQOHUL\nNo. 38: Kt 88/k 121 %RUoVHQHGLQVKDVÕ\n\nAššur-rē’ī’nin Abum-ilī ve kardeşi Šalim-Aššur’da alacaklı olduğu 1\nmina gümüş hakkındaki tarihlemenin hafta adı ile yapıldığı  haItalık v۲desi ve\n  I۲iz oranı olan senedinin nüshasıdır Borçtan borçlunun sağ olanları ve\nvarisleri de sorumlu tutulmuştur\n\nKIŠIB Puzur4-A-šur DUMU ZU-na-da\n\nKIŠIB A-la-hi-im DUMU I-dí-Sú-en6\n\nKIŠIB A-na-ah-DINGIR DUMU Sà-ba-sí-a\nKIŠIB A-bu-um-DINGIR DUMU Ab-ba\n\n5.\nKIŠIB Ša-lim-A-šur a-hi-šu\n\nša 15 ma-na KÔBABBAR ܈a-ru-pá-am\n\ni-܈é-er A-bu-um-DINGIR\n\nú Ša-lim-A-šur A-šur-SIPA\nK.\n\ni-šu-ú iš-tù ha-muš-tim\n\n10.\nša A-šur-be-el-a-wa-tim\nA.y.\n\nù A-gu5-za a-na\n\n40 ha-am-ša-tim i-ša-qú-lu\n\nšu-ma i-na u4-mì-šu-nu ma-al-ú-tim\n\nlá iš-qú-lu 1 ò GËNTA\n\n15.\ni-na ITI.KAM a-na 1 ma-na-im\n\nú-܈ú-bu KÔBABBAR i-qá-qá-ad\n\nšál-mì-šu-nu ú ke-ni-šu-nu\n\nra-ki-is ta-ah-sí-is-tum\nK.\n\na-ni-tum me-eh-ra-at\n\n20.\nܒup-pì-im ha-ar-mì-im\nS.K.\n\nša hu-bu-ul\n\nA-bu-um-DINGIR\n\nú Ša-lim-A-šur\n\n1-5 Suen-nƗdƗ’nın oğlu Puzur-Aššur’un mührü İdī-Suen’in oğlu Ali-\nahum’un mührü SabbƗsiya’nın oğlu Anah-ilī’nin mührü Abba’nın oğlu,true
"Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",361,"Tafi\n•\nKa11 u\nDïuir-Katlimmu\nEuphrat\nJirbat\nad-DYniyah\nTerqa •\nMari\nBabylon\nNippur\nBABYLONIEN\nUroma•\n•\nLagal\nLarsa\nALZI\n1\nNAIRI\nPAPtli7\nIMBUE\nKa§ijari\nBAT\nPA\n./Kujigtoul§\ns •\n^byaçl\n• A. ukanni (?)\nMEURI\nUQUMANI\n•\nTall Durdlira\nMU$RI\nTall ar-Rimnli\nNinive\nRA\n:allpat\n-Dâr\n-Parr',, .\n•\n•\n•\nga1ikanni\nTall Umm `Agrébe\nARRAKJA LULLUBi7\n•\nEkamitum •\n-Tukulh\nc\nNinurta\nArrapia / Kirkük\nAssur Tall vi•Nuzi\n\\2)\nQ S AR-\nf+.\nE§nunna\nDûr-Kurigalzu\n•\nRapiqu {3\n•\nSippar\n®200\nkm\n•\nUr",false
"Günbatti, Cahit - Die Beziehungen zwischen assyrischen Kaufleuten und anatolischen Fürsten aus Kültepe. CDOG 8, 2008 125-136.pdf",6,"130\nCahit Günbatti\nFürsten und Assyrern von großer Bedeutung ist, da hier auch zum ersten Mal\nvon einem Fluß-Ordal die Rede ist.\nDer assyrische Kaufmann Aššur-takläku war von dem lokalen Palast fest-\ngenommen worden. Zwei Monate später trat eine Delegation des kdrum vor\nden Fürsten und die Fürstin und sagte, daß der verhaftete Aššur-takläku\nunschuldig sei und sie um seine Freilassung bäten. Die Vertreter baten um\neine Gelegenheit, damit der verhaftete Assyrer seine Unschuld beweisen\nkönne, indem er entweder vor dem Dolch des Gottes Aššur schwöre oder\nwie ein Anatolier zum Fluss gehe. Sie sagten sogar, daß sie selbst anstatt\nAššur-takläku vor dem Dolch Aššurs schwören könnten. Für die Freilassung\ndes Verhafteten stellten der Fürst und die Fürstin eine Bedingung, nämlich\ndie Auslieferung eines anderen Assyrers, der Kontakte mit dem feindlichen\nFürst von Tawiniya unterhalte und gegen das Fürstenpaar tätig sei. Falls die\nVertreter das nicht erfüllten, sollten sie ihnen (dem Fürst und der Fürstin) l\nMine amûtum oder 10 Minen Gold bezahlen. Im Falle, daß diese Forderun-\ngen nicht erfüllt würden und der Name der im Dienst des Fürsten von\nTawiniya stehenden Person nicht verraten werde, drohten sie die Hinrich-\ntung Ašsur-takläkus an.\nOffensichtlich griffen der Fürst und die Fürstin, die alle Vorschläge der\nVertreter des keirum ablehnten, zum Mittel der Erpressung und verlangten\neine enorme Summe, ein halbes Kilogramm amûtum oder fünf Kilogramm\nGold, für die Freilassung des Gefangenen.\nDieser Text ist auch ein anschauliches Beispiel für die Verpflichtung der\nVerwaltungszentren der assyrischen Kolonien in Anatolien zum Schutz der\nRechte ihrer Staatsbürger gegenüber den lokalen Verwaltungen.\nWie wir aus anderen Texten erfahren, konnten die assyrischen Kaufleute\nwegen Unruhen oder Konflikten zwischen den anatolischen Fürstentümern\nnicht immer ruhig ihren geschäftlichen Aktivitäten nachgehen, und sie waren\noft nicht ihres Lebens sicher. In Kt 92/k 526 9 lesen wir die folgenden Worte,\ndie die bedrohliche Lage der Kaufleute widerspiegelt: 6-10)... annakam\nrubci'um i sikkatim magitma ina qerab A/im ki sihitim saknat u ana gagqadd-\ntini pa/hani „Hier kehrte der Fürst von den sikkatum zurück. In der Stadt gibt\nes einen Aufstand, deswegen fürchten wir um unser Leben"".\nDiese und andere ähnliche Beispiele sollen nicht sagen, daß alle lokalen\nFürsten gegen die Kaufleuten oder ihre Autoritäten gnadenlos und brutal\ngehandelt haben. Obwohl die Zahl der Beispiele dafür gering ist, lesen wir in\neinigen Texten, daß manche Fürsten mit den Kaufleuten geschäftliche Ver-\nGünbatti 2001, 158 n. 2; Çeçen 2002. 66-67.",false
CAD (A-N).pdf,2933,"kallatu\nconcerning [...] be imposed on me as (if I\nwere) one who has brought a slave girl be-\nlonging to the palace out through the gate\nof Babylon JCS 7 98 MAH 16506+:13, cf. [ka-\nal-l]a-ti ... uS[s]irma luLdhiz release my (pro-\nspective) daughter-in-law in order that I\nmay marry (her to my son)\nibid. 6, see\nLandsberger, JCS 9 131.\n2' in MA: abu 9a zubulla izbiluni kal-la-a-\nsu ilaqqia ana mdrisu iddan the father who\nhas brought the wedding gifts (for a girl\nwhose father refused to hand her over) may\neither take his daughter-in-law and give her\nto his son (or take back the tin, silver, gold)\nKAV 1 iv 34 (Ass. Code § 30b);\nki kal-le-te Sa\nira'umusini irakkusunege they (the brothers\nof her dead husband) will make an agreement\n(to provide) for her as (for) a daughter-in-law\nin good standing (lit. one whom they love)\nibid. vi 97 (Ass. Code § 46).\n3' in Nuzi: sisa damqa NIG sa tPN kdl-la-\nti-ja sa ina tuppi Sat(a)ru ula addin u inanna\n...\nana PN2 anandin I did not give a fine\nhorse, the share of 'PN, my daughter-in-law,\nwhich is mentioned in the tablet, but I will\ngive (it) to PN, (in the month MN) HSS 9 42:4.\n4' in MB: PN fPN, ummasu GURUS PN3\nahasu DUMU.SAL PN4 I.GI4.A naphar 4 qinni\nPN5 PN6 umassi PN, has identified PN, fPN 2,\nhis mother, the young man PN,, his brother,\n(and) PN,, the daughter-in-law, in all, four\nmembers of the family of PN, BE 14 126:6.\n5' in NB: x A.k muligi ...\nPN ana fPN2\nmdrtiu E.GI 4.A PN3 ... iddin PN has given\nx land as a dowry to his daughter PN,, the\ndaughter-in-law of PN,\n1R 70 i 15 (kudurru);\nana fPN adsatisu sa PN, kal-lat-i-su Sa PN3 ...\niddin he has given (x land) to tPN, the\nwife of PN,, the daughter-in-law of PN,\nBBSt. No. 9 i 28, cf. ibid. 35.\n6' in NA (as an official title of the wife of\nthe crown prince): PN sa ekalli a RN ...\nummi Sa RN, ...\nkal-lat RN3 Sammuramat,\nwife of Samsi-Adad (V), mother of Adad-\nniriiri (III), daughter-in-law of Shalmaneser\n(III) Andrae Stelenreihen No. 5:6;\nfPN Sa\nkallatu\nekalli a RN kal-lat RN, ummi RN, Zakitu,\nwife of Sennacherib,\ndaughter-in-law\nof\nSargon, mother of Esarhaddon\nADD 645:3,\ncf. 'PN Sa ekalli a RN kal-lat RN,\nNaqija,\nconsort of Sennacherib, daughter-in-law of\nSargon ibid. r. 3, cf. also Borger Esarh. 116 i 2;\natti mdrat kal-lat GA§AN.A\na PN mdr Sarri rabi\n9a bit redite Sa RN you are a daughter (only\nin the sense that you are) the daughter-in-\nlaw (of Esarhaddon), ""Lady-of-the-House""\nof the crown prince Assurbanipal, the son of\nEsarhaddon ABL 308 r. 5,\ncf. DUMU.SAL PN\nSAL.E.GI 4.A-SU\nABL 512:11;\n.GI 4.A Aepe\ntamassi the daughter-in-law (of the king,\ni.e., the wife of the crown prince) will wash\nthe feet (of the dead) ZA 45 42:4 (NA rit. for\nthe substitute king).\nc) as an epithet of goddesses -\n1' of Aja\n(daughter-in-law of Sin, wife of Samas) -\na' in texts from Sippar or mentioning Sippar:\nPN ana DN kal-la-tim ana kisalluhhi iddin\nshe dedicated (the girl) PN to Aja, the\nwife, to serve as court sweeper\nVAS 8\n55:12 (OB),\ncf. Samas u Aja ka-al-la-tum\n...\nliballituka\nCT 6 27a:4,\nwr. E.GI4.A\nYOS 2 64:4 (both OB letters);\nana ...\nAja\nkal-la-tim biltija CT 32 xi 12 and 32 (NB, Cruc.\nMon. Manistusu);\nAja kal-la-tum rabitum\nna-ram-mat amas VAB 4 232 ii 13 (Nbn.), cf.\n[dA-a lip]Sur E.GI4.A GAL-tum\nIraq 31 176:13\n(lipsur-lit).\nb' in other inscrs.: Aja ka-la-tum biltum\nrabitum Syria 32 17 iv 25 (Jahdunlim); muiiab\nSamas blu rabz u Aja kal-la-tim nardmtidu\ndwelling place of Sama, the great lord, and\nof his beloved, the daughter-in-law Aja VAB\n4 236 i 51 (Nbn., Larsa), also kal-lat nardmtigu\nCT 34 28 i 58, cf. Aja kal-lat lihassisk[a] may\nAja the daughter-in-law recommend (him)\nto you (Samas)\nGilg. III ii 20; see also BA\n10/1, in lex. section.\n2'\nof Gula (daughter-in-law of Enlil and\nwife of Ninurta):\nNinurta ...\nu Gula\nkal-lat ].SAR.RA\nBBSt. No. 6 ii 39 (Nbk. I),\nof. MDP 2 p. 113 ii 13; [nin.li.Su].me.[a]\nks.mah.kex 4.gi.a dEn.lil.la.kex ag.ga\ndU,.Ux(GISGAL).lu .kex : bil[et E].§U.ME.[§A4\n81\noi.chicago.edu",false
p3_s_a.pdf,42,"44\nRICHARD L. ZETTLER\neds. H. NŸzhet Dalfes, George Kukla and Harvey Weiss, pp. 711-23. Berlin, Heidelberg\nand New York: Springer-Verlag, 1997.\n——. 2000a. Causality and Chance: Late Third Millennium Collapse in Southwest Asia.\nSubartu 7: 207-17.\n——. 2000b. Beyond the Younger Days: Collapse as Adaptation to Abrupt Climate Change\nin Ancient Western Asia and the Eastern Mediterranean. In Environmental Disaster and\nthe Archaeology of Human Response, eds. Garth Bawden and Richard Martin Reycraft, pp.\n75-99. Albuquerque: Maxwell Museum of Anthropology.\nWeiss, Harvey, and Marie-Agns Courty. 1993. The Genesis and Collapse of the Akkadian\nEmpire: The Accidental Refraction of Historical Law. In Akkad: The First World Empire,\ned. Mario Liverani, pp. 131-56. Padua: Sargon.\nWeiss, Harvey, M.-A. Courty, W. Wetterstrom, F. Guichard, L. Senior, R. Meadow and\nA. Curnow. 1993. The Genesis and Collapse of Third Millennium North Mesopotamian\nCivilization. Science 261: 995-1004.\nWestenholz, Aage. 1987. Old Sumerian and Old Akkadian Texts in Philadelphia. Part 2. CNI\nPublications 3. Copenhagen: University of Copenhagen Press.\n——. 1999. The Old Akkadian Period. History and Culture. In Akkade-Zeit u. Ur III-Zeit, ed.\nPascal Attinger and Markus WŠ er, pp. 15-117. Orbis Biblicus et Orientalis 160/3.\nFreiburg: UniversitŠtsverlag.\nWhiting, Robert M. 1982. Tish-atal of Nineveh and Babati, Uncle of Shu-Sin. Journal of\nCuneiform Studies 28: 173-82.\nWilcke, Claus 1988. A Note on TiÕamat-Bashti and the Goddess Sha(w)ush-(k)a of Nineveh.\nDrevnii Vostok 5: 225-27.\nWilkinson, T. J. 2000. Settlement and Land Use in the Zone of Uncertainty in Upper Mesopotamia.\nIn Rainfall and Agriculture in Northern Mesopotamia, ed. R. M. Jas, pp. 3-36. Istanbul:\nNederlands Historisch-Archaeologisch Instituut te Istanbul.\nWinter, Irene J. 1981. Royal Rhetoric and the Development of Historical Narrative in Neo-\nAssyrian Reliefs. Studies in Visual Communication 7: 2-38.\n——. 1983. The program of the Throneroom of Assurnasirpal II at Nimrud. In Essays on\nNear Eastern Art and Archaeology in Honor of Charles Kyrle Wilkinson, eds. P. O. Harper\nand Holly Pittman, pp. 15-31. New York: Metropolitan Museum of Art.\n——. 1985. After the Battle Is Over: The Stele of the Vultures and the Beginning of\nHistorical Narrative in the Art of the Ancient Near East. In Pictoral Narrative in Antiquity\nto the Middle Ages, eds. H. Kessler and M. S. Simpson, pp. 11-37. Washington, D.C.:\nNational Gallery.\n——. 1986. The King and the Cup: Iconography of the Royal Presentation Scene on Ur III\nSeals. In Insight through Images: Studies in honor of Edith Porada, ed. Marilyn Kelly-\nBuccellati, pp. 253-68. Bibliotheca Mesopotamica 21. Malibu: Undena Publications.\n——. 1987. Legitimation of Authority through Image and Legend: Seals belonging to\nOf cials in the Administrative Bureaucracy of the Ur III State. In The Organization of\nPower: Aspects of Bureaucracy in the Ancient Near East. Studies in Ancient oriental\nCivilizations, No. 46. 2nd edition with corrections, eds. McGuire Gibson and Robert D.\nBiggs, pp. 69-116. Chicago: Oriental Institute.\n——. 1997. Art in Empire: The Royal Image and the Visual Dimensions of Assyrian\nIdeology. In Assyria 1995, eds. Simo Parpola and R. M. Whiting, pp. 359-82. Helsinki:\nthe Neo-Assyrian Text Corpus Project.\nWoolley, C. L. 1934. The Royal Cemetery. Ur Excavations 2. London: Trustees of the British\nMuseum and the University of Pennsylvania Museum.\nWoolley,Sir Leonard and M. E. L. Mallowan. 1976. The Old BabylonianPeriod. Ur Excavations\n7. London: Trustees of the British Museum and University of Pennsylvania Museum.\nYoffee, Norman. 1991. The Collapse of Ancient Mesopotamian States and Civilization. In The\nCollapse of Ancient States and Civilizations, eds. Norman Yoffee and George L. Cowgill,\n2nd Printing, pp. 44-69. Tucson: University of Arizona Press.",false
Bilgic_1954_Einheimischen(2).PDF,58,"50\nDIE EINHEIMISCHEN APPELLATIVA DER KAPP. TEXTE\nlich geschickt und gegen Entgeld ge-bezw. verkauft wurde, kommt\nin hethitischen Texten auch mehrmals vor. Ferner wird das Wort\nim AlIgcmeinen mit dem Determinativ GIS und meistens als ~ulu­\ngannazza, ~uluganniiaz (abl.), [~uluk]annit (instr.) mit zwei n, zuwei-\nlen auch als ~uluganaz (abl.) mit einem n geschrieben, heisst nach\nSOMMER eher ""Slinfte"" als ""Wagen"" 118, S. ALP ist dagegen fur die\nBedeutung ""Wagen"" 119.\nBesonders an der von S. ALP benutzten\nStelle 2393/c (x) 1 ff. scheint uns die Bedeutung ""Wagen"" fur\n~ulukannum ausser Zweifel. Dieselbe Bedeutung ist fur das Wort auch\nim obigen kappadokischen Texte gar nicht unpassend. Es ist bisher\nnicht bekannt, welcher altanatolischen Sprache dieses Wort -dessen\nAbstammung yom Nesisch von LANDSBERGER angezwifelt wurdel20-\nbezuglich des Stammes zuruckzufuhrcn ist.\nkipuna(n)num: In OIP XXVII 55, 28, 34 und TC II, 159, 8, 19-\nwird immer von uber hundert Stuck davon die Rede. Es ist ein in\neine Binde gewickelter Gegenstand. 1m verwitterten Text TC II\n117 (Z. 22) wird er zusammen mit anderen gegen Geld zu erste-\nhenden Gegenstlinden, wie z.B. kamunum ""Kummel"", erwlihnt, und\nzwar wird gesagt, dass eine Menge davon zu 1/3 siqil gekauft wurde.\nDer Text OIP XXVII 55, der eine zusammenfasscndc Rcchnungs-\nliste darstellt, ist fUr dieses Wort besonders wichtig. Hier kommt\nkipunannum, unter vielen gekauften und abgelieferten Waren wie\nfolgt vor: (Z. 25-35): 1 mana kaspam sa riihi!im ilAdad-hiini ilqi 1/2\nmana kas. ana Uradud-Kuhi addin 3 mana 4 siq. siparratim 1/2 mana anii-\nkam 2 meat ki-pu-na-ni I meat muf!iitim sa 1/4 siq. kaspim mal'si 1/4 siq.\nkaspam ana Duqli alqul 1/2 SlLA2 kamuni mimma annim ana iIAdad-hiini,\nu Uradud-Kuhi aqqatisunu\naddin ljazuiinum AdaMi u 4 meat ki-pu-na-ni\nina istet ~urfianim kankuma kunukkia naf'unikkum. ""Das 1 m. Silber des\nKommissars hat Adad-hiini genommen, 1/2 m. Silber habc ich Urad-\nKuhi gegeben, 1 m. 4 fiq. siparratum, 121 1/2 m. Zinn, 200 kipuna(n)-\n118 AU, S. 81, Anm. 2 und 4.\n118 Beamlennamen, S. 8, Anm. lund S. 14, Anm. I.\nlao AOr XVIII 1-2, S. 342, Anm. 67, 5.\n121 ""Vir hatten seinerzeit darauf hingewiesen (SumeToioji ATllftlTmalaTl, S. 935),\ndass flir dieses Wort, das von LEWY in KTHahn 6, 5 (S. 10) und EL S. 288 mit\nAloe und in EL II S. 187 mit Spiesschen iibersetzt und( dabei die Moglichkeit\nausgesprochen war, es konne sich urn ein Metallgerat handeln), und von GELD,\nder ersten Hypothese LEWY'S sich anschliessend, mit Aloe iibersetzt war (OIP",false
"AnSt 7, 1957.pdf",39,"34\nANATOLIAN STUDIES\nol\n06\nC(\nFi.4.\nFIG. 5\nFIG. 4.\nFmI. 5.\nINVENTORY\nOF POTTERY VESSELS FROM SHRINE IN LEVEL XV\nNo. on Plan.\nFIG. 4.\ni. Beak-spouted juglet with grooved and incised decoration. Buff polished ware.\n32 (P1. IIf)\n2. Jug on three stumpy feet with cutaway neck. Red burnished ware.\n35\n3. Jug with oblique mouth. Lightly grooved decoration : black burnished ware.\nI (P1. IIf)\n4. Beak-spouted jug with spirally fluted body. Brown burnished ware\n42 (P1. IId)\n5. Beak-spouted jug. Plain (greyish-buff) ware.\n2\n6. Beak-spouted jug. Plain ware.\n7\n7. Beak-spouted jug with fluted handle. Plain ware.\n23\nFIG. 5.\nI. Jar with fluted body. Plain ware.\n15\nNo. on Plan.\n2. Jar with incised neck and spirally fluted body. Pale red burnished ware.\n6 (P1. IIe)\n3. Jar with collared neck. Plain ware.\n24\n4. Small two-handled jar. Plain red ware.\n30\n5. Flat lid with unperforated knob. Coarse ware.\n22\n6. Small collar-necked, four-handled jar. Grooved decoration. Light brown burnished\nware.\n41\n7. One-handled small cup. Polished buff ware.\n17\n8. Votive one-handled cup. Coarse ware.\n36\n9. Votive cup. Clumsy coarse ware.\n13\nIo. Small jar. Coarse ware.\n44\nI I.\nMiniature jar. Buff polished ware.\n37\n12. Two-handled storage jar. Red burnished ware.\n5\n14. Votive cup. Clumsy coarse ware.\n14",false
LeGrain PBS 13.pdf,123,PLATE X V\nREV\n40\nO B V\nC B S 14081\n41\nO B V\nC B 5 14214\nn E V,false
"Soldt, W.H. van ed. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",76,"7 0\nM. DIETRICH\nNabû und [Marduk] (3) mögen meinen Herrn segnen!\nFolgender[maßen] (4) zu meinem Herrn:\nIch habe mich hoffentlich verhört[:] (5) In Nippur gibt es allerlei Un[ruhen,] (6) sodaß alle\nGdrnäer zu (7) den Rubu'äern (aus)gezogen sind!\nFerner: (8) Ich habe mich hoffentlich verhö rt: Tirutu (befindet sich) (9) auf dem Gelände des\nAbi'-niiru, und (10) der qallu-Sklave der <E>saggilu (befindet sich) bei (11) Nadnâ im\nSumpfgebiet! Warum (12) weilt der qallu-Sklave im Sumpfgebiet? (13) Er soll herkommen und\n(meine) Speise zur Sättigung zu sich nehmen! (14) Dann soll er mit den (anderen)\nSchreiberlehrlingen (15) liginnu-Tafeln studieren! Solange es die Götter für gut halten, (16) kann\ner (ungestört) gehen und kommen!\nIch, (17) bin ich denn ein Verbündeter, wenn ich an ihn (sc.: den Herrn) herantrete, (18) mein\nHerr aber ihm (sc.: mir) nicht schreibt?! (19) Und wenn es der Tatsache entspricht, (daß) mein\nAngebot nicht (20) gut (genug) war, (dann) möge mir mein Herr die Vorstellung meines Herrn 11\n(21) schreiben, damit sie (meine) Speise vor mir (22) essen! Dort (Rückseite) (23) hat aber\nhoffentlich nicht irgendein (anderer) deren Hände ergriffen und (sie) jemandem [anderen] (24)\nübergeben! Was könnte mir mein Herr dafür zurückgeben?\n(25) Wenn es mein Herr für gut hält, (26) dann möge mir mein Herr (stattdessen) zwei qallu-\nSklaven —sei es einer von der Kullâ, (27) sei es einer von der Esaggilu, oder einer von irgend-\neiner anderen (Dame) aus (28) deren Mitte, die mein Herr für gut hält — (29) es kann (aber auch)\nein améluttu-Sklave meines Herrn (30) oder der Tirutu oder der Qibit-tübi (31) oder jemandes\nseines Beliebens sein— herführen und kommen? (32) Ich, ich werde die Verantwortung für sie\ntragen12 !\n[Und w]enn (33) es mein Herr nicht für gut hält [und] mein Herr (34) nicht kommen wird: Es\ngibt viele Babylonier, (35) die mich hier kennen — einem von (36) ihnen möge mein Herr (ihn)\ngeben, damit er (ihn) herführe und (37) mir übergebe! Ich, ich werde hier alles Geld für sie, (38)\ndas man für sie aufgebraucht hat, erstatten!\n(39) Aus Not habe ich fürwahr schon an die siebenmal wegen eines améluttu-Sklaven (40)\nmeinem Herrn geschrieben! Mit Ah1i6-gullim (41) und umâ möge mein Herr einen améluttu-\nSklaven hersenden! (42) Dann werde [ich] nach bestem Bemühen die Verantwortung für sie\ntr[agen!]\n(43) Mein Herr sollte den améluttu-Sklaven nicht vom Auszug [zurückhalten!] (44)\n(Stattdessen) möge mein Herr (jemanden) senden, sei es einen a[mêluttu]-Sklaven (oberer Rand)\n(45) (aus dem Haus) meines Herrn oder einen qallu-Sklaven: (46) Er (Sie) soli (sollen) ohne\nVerzögerung kom[men und] (47) die liginnu-Tafeln studieren!\n1.3. Philologische Bemerkungen\nZ. 4, 8: Die Redewendung ki asmû umma, die in diesem Nippur-Briefkorpus auch noch in\n2:4, 20:16-17, 29:5, 96:10 und 99:4 belegt ist, bietet hinsîchtlich ihrer Konstruktion und ihrer\nDeutung Schwierigkeiten: Sie ist zusammengesetzt aus der Subjunktion ki ""wenn, etc."" und dem\nPrt. 1.Sg. von semû im Subjunktiv; da sie nicht ein Nebensatz mit vorangehendem oder nachfol-\ngendem Hauptsatz ist, sondern mit umma ""folgendermaßen:"" auf einen Hauptsatz überleitet, ist sie\n11 Wörtl.: ""das, was für meinen Herrn annehmbar ist"".\n12 D.h., er werde dafür Sorge tragen, daß sie jedwede Unterstützung erfahren.",true
