pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
Keibi67-Band 67 (2008).pdf,69,80,True,False,False,2025-10-09T18:54:23.888626
AKT 7a.pdf,154,5835,True,True,False,2025-10-09T18:54:29.724167
"Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",361,6557,True,False,False,2025-10-09T18:54:42.089808
"Günbatti, Cahit - Die Beziehungen zwischen assyrischen Kaufleuten und anatolischen Fürsten aus Kültepe. CDOG 8, 2008 125-136.pdf",6,3354,True,False,False,2025-10-09T18:54:55.078935
CAD (A-N).pdf,2933,1751,True,False,False,2025-10-09T18:55:00.031272
p3_s_a.pdf,42,54,True,False,False,2025-10-09T18:55:00.268921
Bilgic_1954_Einheimischen(2).PDF,58,36,True,False,False,2025-10-09T18:55:00.305428
"AnSt 7, 1957.pdf",39,3204,True,False,False,2025-10-09T18:55:03.510817
LeGrain PBS 13.pdf,123,228,True,False,False,2025-10-09T18:55:03.739870
"Soldt, W.H. van ed. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",76,509,True,True,False,2025-10-09T18:55:05.895509
"Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008 (2).pdf",62,3953,True,False,False,2025-10-09T18:55:09.849813
momrak.pdf,168,234,True,False,False,2025-10-09T18:55:12.206774
"Veenhof, Klaas R. - The Archive of Kuliya, Son of Ali-abum (Kt. 92-k 188-263). TTKY VI, AKT 5, 2008 (preprint).pdf",23,87,True,False,False,2025-10-09T18:55:12.294159
Kt c-k (Dercksen).pdf,102,510,True,True,False,2025-10-09T18:55:12.804838
"GKT, 1968.pdf",215,5045,True,True,False,2025-10-09T18:55:18.604989
Hertel_2013_OAAS6_OA legal practices.pdf,455,9453,True,False,False,2025-10-09T18:55:28.095555
CAD (N-Z).pdf,365,2515,True,False,False,2025-10-09T18:55:30.611017
"AnSt 42, 1992.pdf",26,3332,True,False,False,2025-10-09T18:55:33.943901
AKT 6e.pdf,63,43,True,False,False,2025-10-09T18:55:33.987612
"Laurea, Tesi di - Aspetti storico-religiosi nell'onomastica paleoassira 831684-1157658.pdf",636,407,True,False,False,2025-10-09T18:55:35.886027
BookScanCenter.pdf,5,1605,True,False,False,2025-10-09T18:55:37.641844
Sanders_2006_OIS2_Margins_Writing.pdf,113,170,True,False,False,2025-10-09T18:55:38.023202
Kouwenberg_2017_GOA_HdO118.pdf,512,2515,True,False,False,2025-10-09T18:55:40.539338
yakubovich_diss_2008.pdf,180,244,True,False,False,2025-10-09T18:55:40.784361
