pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-09T11:36:01.227770
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\Keilschriftbibliographie (1)\Keibi67-Band 67 (2008).pdf,69,True,0.89,,2025-10-09T11:36:02.373785
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 7a.pdf,154,True,11.51,,2025-10-09T11:36:13.885414
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kültepe Kanıš, Neša. Seal Impressions on the Clay Envelopes. TTKY V 50, 2006 (big).pdf",234,True,14.44,,2025-10-09T11:36:28.325153
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",361,True,1.45,,2025-10-09T11:36:29.775902
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Teissier - Sealings, 1994.pdf",134,True,16.91,,2025-10-09T11:36:46.692015
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Günbatti, Cahit - Die Beziehungen zwischen assyrischen Kaufleuten und anatolischen Fürsten aus Kültepe. CDOG 8, 2008 125-136.pdf",6,True,0.30,,2025-10-09T11:36:46.996163
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\arm6000.PDF,12,True,10.07,,2025-10-09T11:36:57.065597
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,2933,True,171.51,,2025-10-09T11:39:48.573018
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel_2008_MDargaA.pdf,18,True,14.43,,2025-10-09T11:40:03.006008
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ANADOLUNUN_ONSOZU_KULTEPE_KANIS-libre.pdf,122,True,16.24,,2025-10-09T11:40:19.250007
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\p3_s_a.pdf,42,True,0.30,,2025-10-09T11:40:19.549195
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Bilgic_1954_Einheimischen(2).PDF,58,True,2.26,,2025-10-09T11:40:21.814865
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 7, 1957.pdf",39,True,2.76,,2025-10-09T11:40:24.577178
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\LeGrain PBS 13.pdf,123,True,3.53,,2025-10-09T11:40:28.103587
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2).pdf,730,True,15.05,,2025-10-09T11:40:43.150003
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Soldt, W.H. van ed. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",76,True,1.06,,2025-10-09T11:40:44.211385
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Dercksen, J. G. ed - Anatolia and the Jazira During the Old Assyrian Period. PIHANS 111, 2008 (2).pdf",62,True,0.65,,2025-10-09T11:40:44.864891
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,85,True,16.17,,2025-10-09T11:41:01.036211
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,1112,True,15.37,,2025-10-09T11:41:16.404520
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\momrak.pdf,168,True,0.47,,2025-10-09T11:41:16.877389
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Veenhof, Klaas R. - The Archive of Kuliya, Son of Ali-abum (Kt. 92-k 188-263). TTKY VI, AKT 5, 2008 (preprint).pdf",23,True,1.61,,2025-10-09T11:41:18.490795
