pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-09T14:17:56.530029
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\Keilschriftbibliographie (1)\Keibi67-Band 67 (2008).pdf,69,True,1.17,,2025-10-09T14:17:57.858925
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AKT 7a.pdf,154,True,0.57,,2025-10-09T14:17:58.426570
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Nımet - Kültepe Kanıš, Neša. Seal Impressions on the Clay Envelopes. TTKY V 50, 2006 (big).pdf",234,True,13.95,,2025-10-09T14:18:12.382558
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",361,True,0.54,,2025-10-09T14:18:12.922211
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Teissier - Sealings, 1994.pdf",134,True,13.27,,2025-10-09T14:18:26.195478
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Günbatti, Cahit - Die Beziehungen zwischen assyrischen Kaufleuten und anatolischen Fürsten aus Kültepe. CDOG 8, 2008 125-136.pdf",6,True,0.30,,2025-10-09T14:18:26.500783
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\arm6000.PDF,12,True,9.52,,2025-10-09T14:18:36.022229
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,2933,True,1.42,,2025-10-09T14:18:37.438687
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel_2008_MDargaA.pdf,18,True,15.50,,2025-10-09T14:18:52.940557
