pdf_path,page_no,success,processing_time,error,timestamp
,0,False,0.00,,2025-10-08T17:32:49.999035
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,0.72,,2025-10-08T17:32:50.768684
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,5.08,,2025-10-08T17:32:55.851341
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",1,True,0.54,,2025-10-08T17:32:56.395504
"data\drive\Secondary Sources\(OCR) AfO 51, 2005-06, pp. 247-249 - Kryszat, Guido - Altassyrische Miszellen 2 - Zur Gottin Istar - ZA.AT.pdf",2,True,0.54,,2025-10-08T17:32:56.931883
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",1,True,0.40,,2025-10-08T17:32:57.335763
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",2,True,0.41,,2025-10-08T17:32:57.748291
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",3,True,0.40,,2025-10-08T17:32:58.152137
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",4,True,0.41,,2025-10-08T17:32:58.564887
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",5,True,0.40,,2025-10-08T17:32:58.969873
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",6,True,0.41,,2025-10-08T17:32:59.376814
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",7,True,0.41,,2025-10-08T17:32:59.787389
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",8,True,0.41,,2025-10-08T17:33:00.197782
"data\drive\Secondary Sources\(OCR) CDOG 8, 2008, pp. 109-124 - Dercksen, J.G. - The Assyrian Colony at Kanesh.PDF",9,True,0.32,,2025-10-08T17:33:00.518586
